code,Unused?,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
Etymology,FALSE,,Etymology: %1$s,Etimologio: %1$s,,<strong>Étymologie</strong>: %1$s,,Etimología: %1$s,,<strong>Etimologie</strong>: %1$s,<strong>Etimology</strong>: %1$s,Etimologia: %1$s
entry etymology header,TRUE,,Etymology,Etimologio,,<strong>Étymologie</strong>: %1$s,,Etimología,,,,
entry etymology a priori text,FALSE,,a priori,apriora,,,,a priori,,,,
entry etymology kwasilexi header,FALSE,,Onomatopoeia,Onomatopeo,,,,Onomatopeya,,,,
entry etymology am oko header,FALSE,,See,Vidu,,,,Ver,,,,
entry etymology am kompara header,FALSE,,Compare with,Komparu kun,,,,Comparar con,Etimología: %1$s,,,
entry etymology link,FALSE,,See external link.,Vidu ekstera ligilo.,,Voir lien externe,,Véase enlace externo.,,,,
etymology link,FALSE,,See external link.,Vidu ekstera ligilo.,,Voir lien externe,,Véase enlace externo.,,,,
entry natlang similar header,FALSE,,Etymological support,Etimologia apogo,Etimologio: %1$s,,<strong>Étymologie</strong>: %1$s,Respaldo etimológico,,,,
natlang search title bar,FALSE,,English 🡒 Globasa,Esperanto 🡒 Globasa,,Français 🡒 Globasa,,español 🡒 Globasa,,,,
tags title,FALSE,,Vocabulary Lists,Vortlistoj,,Listes de vocabulaire,,Listas de vocabulario,,,,
single tag view,FALSE,,Vocabulary List,Vortlisto,,Liste de vocabulaire,,Lista de vocabulario,,,,
tags links,FALSE,,Vocabulary Lists: %1$s,Vortlistoj: %1$s,,<strong>Listes de vocabulaire</strong> : %1$s,,Listas de vocabulario: %1$s,,,,
tags random word,FALSE,,Random Word,Hazarda vorto,,,,Palabra al azar,,,,
entry note am oko,FALSE,,See,Vidu,,,,Ver,,,,
entry note kurto lexi,FALSE,,Short word for,Mallonga vorto por,,,,Palabra corta para,,,,
entry note kompara,FALSE,,Compare meaning with,Komparu signifon kun,,,,Comparar significado con,,,,
entry note Am oko tabellexi,TRUE,,See [Correlatives](https://xwexi.globasa.net/eng/gramati/tabellexi),Vidu [Korelativoj](https://xwexi.globasa.net/epo/gramati/tabellexi),,,,Ver [Correlativos](https://xwexi.globasa.net/spa/gramati/tabellexi),,,,
entry note gramati,FALSE,,See,Vidu,,,,Ver,,,,
entry note gramati inharelexi,FALSE,,Content Words,Enhavaj Vortoj,,,,Palabras de contenido,,,,
entry note gramati tabellexi,FALSE,,Correlatives,Korelativoj,,,,Correlativos,,,,
entry note Nota,TRUE,,"? Nothing needed for this? Just show the note? Ugh, but it would be uniligual. I see why this seemed confusing. Hm.",,,,,,,,,
entry rhymes header,FALSE,,Rhyming Words not Ending in %1$s,Rimantaj Vortoj ne Finiĝintaj per %1$s,,,,Palabras que Riman no Terminadas en %1$s,,,,
Natlang stats,FALSE,,,,,,,,,,,
natlangs title,FALSE,,Etymological Stats,Etimologiaj Statistikoj,,,,Estadísticas Etimológicas,,,,
natlangs language view title,FALSE,,%1$s,%1$s,,,,%1$s,,,,
Tools,FALSE,,,,,,,,,,,
