Word,Category,WordClass,TranslationEng,TranslationEpo,TranslationSpa,Tags,SearchTermsEng,TransNote,LexiliAsel,Hyphenation,Synonyms,Antonyms,slug_mod,OfficialWord,TranslationDeu,TranslationFra,TranslationRus,TranslationZho,TranslationHin,TranslationAra,Etymological support,
majoram,root,b,"n: marjoram, _Origanum majorana_",s: majorano,s: mejorana,herba,,,"Englisa (marjoram), Espanisa (mejorana, mayorana, marjorama, almoraduj), Fransesa (marjolaine), Rusisa (майоран “mayoran”), Doycisa (Majoran), Indonesisa (marjoram), Pilipinasa (mehorana, marjoram), Swahilisa (majorama), Putunhwa (墨角兰 “mwojyawlan”), Koreasa (마조람 “majolam”), Niponsa (マジョラム “majoramu”)",,,,,FALSE,S: Majoran,n: marjolaine,сущ: майоран,"名: 马郁兰, 甘牛至",सं: मरजोरम,اسم: مَرْدَقُوش، بَرْدَقُوش,"Hindi (मरुआ “marua”), Telugusa (మరువము “maruvamu”), Arabisa (مَرْدَقُوش “mardaqux”, مَرْزَنْجُوش “marzanjux”), Parsisa (مرزنگوش “marzanguš”), Turkisa (mercanköşk, macaron - guxi)",
makale,root,b,n: article (_publication_),s: artikolo (_eldonaĵo_),s: artículo (_publicación_),literatur,,,"Arabisa (مقالة “maqala”), Parsisa (مقاله “maqale”), Turkisa (makale), Swahilisa (makala)",,,,,TRUE,"S: Artikel (_Veröffentlichung_), Beitrag, Aufsatz",n: article (_publication_),сущ: статья,"名: 文章, 论文",सं: लेख,اسم: مَقَالَة (_مَنْشُور_),,
maku,root,b,n: (blood) vessel,s: vaskulo,s: vaso sanguíneo,"plantalogi, jismulogi",,,"Koreasa (맥 “mek”), Niponsa (脈 “myaku”), Putunhwa (脉 “may”), Vyetnamsa (mạch). Am kompara: domaku, jinmaku.",,,,,FALSE,"S: Blutgefäß, Gefäß",n: vaisseau (_sanguin_),сущ: сосуд,名: 血管,सं: रक्तवाहिनी,اسم: وِعَاء دَمَوِيّ,,
malfahuriya,derived,b,n: arrogance,"s: aroganto, aroganteco, malhumileco, fieraĉo, orgojlo","s: arrogancia, soberbia",,,,mal- + fahuri + -ya,,,,,FALSE,"S: Arroganz, Anmaßung, Überheblichkeit, Hochmut, Stolz","n: arrogance, orgueil","сущ: высокомерие, заносчивость, надменность","名: 傲慢, 自大","सं: अहंकार, घमंड",اسم: غُرُور، تَكَبُّر، غَطْرَسَة,,
malfale,derived,b,n: misdeed,s: misfaro,s: fechoría,,,,mal- + fale,,,,,FALSE,"S: Untat, Missetat, Verfehlung",n: méfait,"сущ: проступок, прегрешение","名: 恶行, 过错","सं: दुष्कर्म, कुकृत्य",اسم: فِعْل خَاطِئ، سَيِّئَة، جَرِيرَة,,
malwatuxey,derived,b,n: anachronism,s: anakronismo,s: anacronismo,,,,mal- + watu + -xey,,,,,FALSE,"S: Anachronismus, Zeitwidrigkeit",n: anachronisme,сущ: анахронизм,"名: 时代错误, 时代错位",सं: कालविपर्यय,اسم: مُفَارَقَة تَارِيخِيَّة، أَنَاكْرُونِيَّة,,
malwatuyen,derived,b,"n: anachronist, anachronism",s: anakronismulo,s: anacronista,,,,mal- + watu + -yen,,,,,FALSE,"S: anachronistische Person, anachronistisches Element",n: personne anachronique,"сущ: анахронизм, человек-анахронизм",名: 不合时代的人,सं: कालविपर्यय-ग्रस्त व्यक्ति,اسم: شَخْص خَارِج زَمَانِه,,
malxanse,derived,b,n: misfortune,s: malbonŝanco,"s: desgracia, infortunio",,,,mal- + xanse,,,,,FALSE,"S: Unglück, Pech, Missgeschick","n: malheur, infortune","сущ: невезение, несчастье, неудача","名: 不幸, 厄运","सं: दुर्भाग्य, बदक़िस्मती",اسم: سُوء حَظّ,,
malxinen,derived,b,"n: heresy, heterodoxy","s: herezo, heterodokseco","s: herejía, heterodoxia",dini,,,mal- + xinen,,,sahixinen,,FALSE,"S: Häresie, Ketzerei, Irrglaube","n: hérésie, hétérodoxie",сущ: ересь,"名: 异端, 异教","सं: विधर्म, पाखंड",اسم: هَرْطَقَة، بِدْعَة,,
malya,derived,b,"n: wrongness, incorrectness",s: malĝusteco,s: incorrección,,,,mal + -ya,,,sahiya,,FALSE,"S: Unrichtigkeit, Falschheit, Inkorrektheit","n: inexactitude, incorrection","сущ: неправильность, ошибочность","名: 错误, 不正确","सं: ग़लती, अशुद्धि",اسم: خَطَأ، عَدَم صِحَّة,,
mama,root,b,n: mom,s: panjo,s: mamá,famil,,,"Arabisa (مَامَا “māmā”), Putunhwa (妈妈 “māma”), Fransesa (maman), Doycisa (Mama), Hindi (अम्माँ “ammā̃”), Indonesisa (mama), Niponsa (ママ “mama”), Koreasa (엄마 “eomma”), Parsisa (مامان‎ “mâmân”), Rusisa (мама “mama”), Espanisa (mamá), Vyetnamsa (má). Am oko matre.",,mapa,,,TRUE,"S: Mama, Mami",n: maman,сущ: мама,"名: 妈妈, 妈","सं: माँ, अम्मा, मम्मी",اسم: أُمّ، مَامَا,,
mama ci,phrase,b,n: mommy,s: panjo,s: mami,famil,,,"mama, ci",,,,,FALSE,"S: Mama, Mami",n: maman,сущ: мамочка,名: 妈咪,"सं: माँ, अम्मा, मम्मी",اسم: أُمّ، مَامَا,,
mamba,root,b,"n: source, spring, fountain",s: fonto,"s: fuente, manantial",,,,"Arabisa (مَنْبَع “manba”), Turkisa (memba), Parsisa (منبع “manba”)",,,,,TRUE,"S: Quelle, Ursprung, Brunnen","n: source, fontaine","сущ: источник, родник","名: 源头, 泉源","सं: स्रोत, स्रोत्र, उद्गम",اسم: مَنْبَع، يَنْبُوع، عَيْن,,
mamo,root,b,n: breast,s: mamo,"s: seno, mama",jismulogi,,,"Fransesa (mammographie), Espanisa (mamografía), Englisa (mammography), Doycisa (Mammografie), Rusisa (маммография “mammografiya”), Indonesisa (mamografi), Pilipinasa (mamograpiya), Turkisa (mamografi), Hindi (मैमोग्राफी “memografi”), Telugusa (మమోగ్రఫీ “mamografi”), Niponsa (マンモグラフィー “manmogurafī”), Parsisa (ماموگرافی “mâmogrâfi”)",,momo,,,TRUE,"S: Brust, Busen","n: sein, mamelle","сущ: грудь, молочная железа",名: 乳房,"सं: स्तन, छाती",اسم: ثَدْي,,
mamoyen,derived,b,n: mammal,s: mamulo,s: mamífero,hewan,,,mamo + -yen,,,,,FALSE,S: Säugetier,n: mammifère,сущ: млекопитающее,名: 哺乳动物,सं: स्तनधारी,اسم: ثَدْيِيّ، حَيَوَان ثَدْيِيّ,,
mamutu,root,b,"n: mammoth, _Mammuthus_",s: mamuto,s: mamut,mamoyen,,,"Englisa (mammoth), Espanisa (mamut), Fransesa (mammouth), Rusisa (мамонт “mamont”), Doycisa (Mammut), Indonesisa (mamut), Pilipinasa (mamot), Putunhwa (猛犸 “mengma”), Arabisa (مَامُوث “mamuṯ”), Niponsa (マンモス “mammosu”), Karnatakasa (ಮ್ಯಾಮತ್ “myamut”), Tamilsa (மாமூத் “mamut”), Turkisa (mamut), Vyetnamsa (ma mút), Koreasa (매머드 “memodu”), Parsisa (ماموت “mâmut”)",,,,,TRUE,S: Mammut,n: mammouth,сущ: мамонт,名: 猛犸象,सं: मैमथ,اسم: مَامُوث,,
manati,root,b,"n: manatee, _Trichechidae_",s: manato,s: manatí,mamoyen,,,"Englisa (manatee), Espanisa (manatí), Fransesa (lamantin), Rusisa (ламантин “lamantin”), Doycisa (Manati), Pilipinasa (manati), Hindi (मैनाटी “menati”), Niponsa (マナティー “manati”), Turkisa (manati), Koreasa (매너티 “menoti”), Swahilisa (manatii)",,,,,FALSE,"S: Manati, Seekuh, Rundschwanzseekuh",n: lamantin,сущ: ламантин,名: 海牛,सं: मनाती,اسم: أَطُوم، بَقَرَة البَحْر,,
manbete,derived,b,n: son,s: filo,s: hijo,famil,,,man- + bete,,,,,FALSE,S: Sohn,n: fils,сущ: сын,名: 儿子,"सं: बेटा, पुत्र",اسم: اِبْن,,
manbwaw,derived,b,n: (male) dog,s: virhundo,s: perro (_macho_),bwaw,,,man- + bwaw,,,,,FALSE,"S: Rüde, männlicher Hund",n: chien (_mâle_),сущ: кобель,名: 公狗,सं: नर कुत्ता,اسم: كَلْب ذَكَر,,
mandarin,root,b,"n: mandarin (orange), _Citrus reticulata_",s: mandarino,s: mandarina,fruta,,,"Englisa (mandarin), Espanisa (mandarina), Fransesa (mandarine), Rusisa (мандарин “mandarin”), Doycisa (Mandarine), Hindi (मैंडरिन “mendrin”), Arabisa (مَنْدَرِين “mandarin”), Niponsa (マンダリン “mandarin”), Turkisa (mandalina), Parsisa (ماندارین “mândârin”)",,,,,FALSE,S: Mandarine,n: mandarine,сущ: мандарин,"名: 橘子, 柑橘","सं: संतरा, मंडारिन",اسم: يُوسُفَنْدِي، مَانْدَرِين,,
mandolin,root,b,n: mandolin,s: mandolino,s: mandolina,musikatul,,,"Doycisa (Mandoline), Englisa (mandolin), Espanisa (mandolina), Fransesa (mandoline), Rusisa (мандолина “mandolina”), Arabisa (مندولين “mandulin”), Parsisa (ماندولین “mandolin”), Turkisa (mandolin), Indonesisa (mandolin)",,,,,FALSE,S: Mandoline,n: mandoline,сущ: мандолина,名: 曼陀林,सं: मैंडोलिन,اسم: مَانْدُولِين,,
mandoste,derived,b,"n: guy friend, male friend",s: (vir)amiko,s: amigo,person,,,man- + doste,,,,,FALSE,"S: Freund (_männlich_), männlicher Freund",n: ami (_homme_),"сущ: друг, приятель","名: 男性朋友, 男伴",सं: दोस्त,اسم: صَدِيق (ذَكَر),,
manduke,derived,b,n: duke,s: duko,s: duque,person,,,man- + duke,,,,,FALSE,S: Herzog,n: duc,сущ: герцог,名: 公爵,सं: ड्यूक,اسم: دُوق,,
maneken,root,b,n: mannequin,s: manekeno,s: maniquí,xey,,,"Englisa (mannequin), Espanisa (maniquí), Fransesa (mannequin), Rusisa (мамекен “maneken”), Indonesisa (maneken), Arabisa (مَانِيكَان “manikan”), Turkisa (manken), Vyetnamsa (ma-nơ-canh), Koreasa (마네킹 “maneking”), Parsisa (مانکن “mânkan”)",,,,,TRUE,"S: Schaufensterpuppe, Mannequin, Kleiderpuppe",n: mannequin,сущ: манекен,"名: 人体模特, 服装模特","सं: पुतला, मैनीक्विन",اسم: دُمْيَة عَرْض، مَانِيكَان,,
maner,root,b,"n: manner, way, fashion, means",s: maniero,"s: manera, modo",,,,"Englisa (manner), Doycisa (Manier), Fransesa (manière), Espanisa (manera), Rusisa (манера “manera”), Niponsa (マナー “mana”)",,,,,TRUE,"S: Art, Weise, Manier, Methode","n: manière, façon, moyen","сущ: способ, манера, путь","名: 方式, 方法","सं: तरीक़ा, ढंग",اسم: طَرِيقَة، أُسْلُوب، نَمَط، وَسِيلَة,,
manerlexi,derived,b,n: adverb,s: adverbo,s: adverbio,basalogi,,,maner + lexi,,,,,FALSE,"S: Adverb, Umstandswort",n: adverbe,сущ: наречие,名: 副词,सं: क्रिया विशेषण,اسم: ظَرْف، حَال,,
mangami,derived,b,n: husband,s: edzo,"s: esposo, marido",famil,,,man- + gami,,,,,FALSE,"S: Ehemann, Gatte","n: mari, époux","сущ: муж, супруг","名: 丈夫, 老公","सं: पति, शौहर",اسم: زَوْج,,
manganis,root,b,"n: manganese, _Mn_",s: mangano,s: manganeso,kimikamon,,,"Englisa (manganese), Putunhwa (錳 “meng”), Hindi (इंगनी “ingni”), Espanisa (manganeso), Arabisa (مَنْجَنِيز “manganiz”), Fransesa (manganèse), Rusisa (марганец “manganets”), Indonesisa (mangan), Doycisa (Mangan), Niponsa (マンガン “mangan”), Telugusa (మేంగనీస్ “menganis”), Turkisa (mangan), Koreasa (망간 “mangan”, 망가니즈 “manganiju”), Vyetnamsa (mangan), Parsisa (منگنز “mangenez”), Swahilisa (manganisi), Pilipinasa (mangganeso, manganese)",,,,,TRUE,S: Mangan,n: manganèse,сущ: марганец,名: 锰,सं: मैंगनीज़,اسم: مَنْغَنِيز,,
mangeyyen,derived,b,n: gay man,s: (vir)gejulo,"s: homosexual, gay",,,,man- + gey + -yen,,,,,FALSE,"S: Schwuler, schwuler Mann, Homosexueller","n: homosexuel, gay",сущ: гей,"名: 男同性恋, 男同",सं: समलैंगिक पुरुष,اسم: مِثْلِيّ (ذَكَر),,
mango,root,b,n: mango,s: mango,s: mango,fruta,,,"Englisa (mango), Espanisa (mango), Fransesa (mangue), Rusisa (манго “mango”), Doycisa (Mango), Putunhwa (芒果 “mángguǒ”), Arabisa (منجة “manga”), Turkisa (mango), Niponsa (マンゴー “mango”), Koreasa (망고 “mango”), Indonesisa (mangga), Pilipinasa (mangga), Tamilsa (மாங்காய் “mankay”)",,,,,TRUE,S: Mango,n: mangue,сущ: манго,名: 芒果,सं: आम,اسم: مَانْجُو,,
mangwafu,derived,b,n: widower,s: vidvo,s: viudo,person,,,man- + gwafu,,,,,FALSE,S: Witwer,n: veuf,сущ: вдовец,名: 鳏夫,सं: विधुर,اسم: أَرْمَل,,
manhirxa,derived,b,"n: stag, buck",s: vircervo,"s: ciervo, venado (_macho_)",mamoyen,,,man- + hirxa,,,,,FALSE,"S: Hirsch, Geweihträger",n: cerf (_mâle_),сущ: олень-самец,名: 公鹿,"सं: बारहसिंगा, नर हिरण",اسم: أَيِّل، ذَكَر الأَيِّل,,
manixu,derived,b,n: man,s: viro,s: hombre,person,,,man- + ixu,,,,,FALSE,S: Mann,n: homme,сущ: мужчина,"名: 男人, 男性","सं: आदमी, मर्द",اسم: رَجُل,,
mankala,root,b,n: mancala,s: mankalo,s: mancala,yuxi,,,"Englisa (mancala), Espanisa (mancala), Fransesa (mancala), Rusisa (манкала “mankala”), Doycisa (Mancala), Indonesisa (mancala), Pilipinasa (mankala), Hindi (मनकाला “mankala”), Arabisa (منقلة “manqalah”), Swahilisa (mankala), Parsisa (منقله “mankala”), Turkisa (mankala), Koreasa (만칼라 “mankalla”), Niponsa (マンカラ “mankara”), Vyetnamsa (mancala)",,,,,FALSE,"S: Mancala, Bohnenspiel","n: mancala, awalé",сущ: манкала,"名: 播棋, 曼卡拉",सं: मनकाला,اسم: مَنْقَلَة,,
mankonte,derived,b,n: count,s: grafo,s: conde,person,,,man- + konte,,,,,FALSE,S: Graf,n: comte,сущ: граф,名: 伯爵,सं: काउंट,اسم: كُونْت، كَاوْنْت,,
mankuku,derived,b,n: rooster,s: virkoko,s: gallo,piu,,,man- + kuku,,,,,FALSE,S: Hahn,n: coq,сущ: петух,名: 公鸡,सं: मुर्ग़ा,اسم: دِيك,,
mankuzin,derived,b,n: (male) cousin,s: kuzo,s: primo,famil,,,man- + kuzin,,,,,FALSE,"S: Cousin, Vetter",n: cousin,"сущ: двоюродный брат, кузен","名: 表兄弟, 堂兄弟","सं: चचेरा भाई, ममेरा भाई",اسم: اِبْن عَمّ، اِبْن خَال,,
manlilbete,derived,b,n: grandson,s: nepo,s: nieto,famil,,,man- + lil- + bete,,,,,FALSE,S: Enkel,n: petit-fils,сущ: внук,"名: 孙子, 外孙","सं: पोता, नाती",اسم: حَفِيد,,
manmeme,derived,b,n: ram,s: virŝafo,s: carnero,mamoyen,,,man- + meme,,,,,FALSE,"S: Widder, Schafbock",n: bélier,сущ: баран,名: 公羊,सं: मेढ़ा,اسم: كَبْش,,
manmumu,derived,b,n: bull,s: virbovo,s: toro,mamoyen,,,man- + mumu,,,,,FALSE,"S: Stier, Bulle",n: taureau,сущ: бык,名: 公牛,"सं: बैल, साँड़",اسم: ثَوْر,,
mannepoti,derived,b,n: nephew,s: nevo,s: sobrino,famil,,,man- + nepoti,,,,,FALSE,S: Neffe,n: neveu,сущ: племянник,"名: 侄子, 外甥","सं: भांजा, भतीजा",اسم: اِبْن أَخ، اِبْن أُخْت,,
mannini,derived,b,n: boy,s: knabo,"s: niño, chico",person,,,man- + nini,,,,,FALSE,"S: Junge, Knabe",n: garçon,сущ: мальчик,"名: 男孩, 男生",सं: लड़का,اسم: وَلَد، صَبِيّ,,
manprince,derived,b,n: prince,s: princo,s: príncipe,person,,,man- + prince,,,,,FALSE,S: Prinz,n: prince,сущ: принц,名: 王子,सं: राजकुमार,اسم: أَمِير,,
manrahibu,derived,b,"n: monk, brother",s: monaĥo,s: monje,"person, dini",,,man- + rahibu,,,,,FALSE,"S: Mönch, Bruder (_klösterlich_)","n: moine, frère",сущ: монах,"名: 僧侣, 和尚","सं: भिक्षु, साधु",اسم: رَاهِب، أَخ,,
mansenyor,derived,b,"n: gentleman, sir, Mr.",s: sinjoro,"s: señor, caballero",person,,,man- + senyor,,,,,FALSE,"S: Herr, Gentleman","n: monsieur, sieur","сущ: господин, мистер, сэр",名: 先生,"सं: सज्जन, श्रीमान",اسم: سَيِّد، سَادَة، سِيَادَة,,
mansinga,derived,b,n: (male) lion,s: virleono,s: león,myaw,,,man + singa,,,,,FALSE,"S: Löwe, männlicher Löwe",n: lion (_mâle_),сущ: лев,名: 公狮,सं: नर शेर,اسم: أَسَد,,
mansodar,derived,b,n: brother,s: frato,s: hermano,famil,,,man- + sodar,,,,,FALSE,S: Bruder,n: frère,сущ: брат,"名: 哥哥, 弟弟",सं: भाई,اسم: أَخ,,
manteo,derived,b,n: god,s: dio,s: dios,dini,,,man- + teo,,teo,,,FALSE,S: Gott,n: dieu,сущ: бог,"名: 神, 上帝","सं: भगवान, देवता",اسم: إِلَه، رَبّ,,
mantie,derived,b,n: uncle,s: onklo,s: tío,famil,,,man- + tie,,,,,FALSE,S: Onkel,n: oncle,сущ: дядя,"名: 叔叔, 舅舅","सं: चाचा, मामा, ताऊ, फूफा, मौसा",اسم: عَمّ، خَال,,
mantol,root,b,"n: mantle (_clothing, geology_)",s: mantelo,s: manto,labas,,,"Englisa (mantle), Espanisa (manto), Fransesa (manteau), Rusisa (манто “manto”, мантия “mantiya”), Doycisa (Mantel), Turkisa (manto), Niponsa (マント “manto”, マントル “mantoru”), Koreasa (망토 “mangto”, 맨틀 “mentul”), Parsisa (مانتو “mânto” - kotu)",,,,,TRUE,"S: Mantel, Erdmantel (_Geologie_)","n: manteau (_vêtement, géologie_)",сущ: мантия,"名: 披风, 地幔","सं: लबादा, चोगा, आवरण",اسم: عَبَاءَة، مَعْطَف، وِشَاح (_مَلَابِس، جِيُولُوجْيَا_),,
manuma,derived,b,"n: stallion, male horse",s: virĉevalo,s: semental,mamoyen,,,man- + uma,,,,,FALSE,"S: Hengst, männliches Pferd","n: étalon, cheval (_mâle_)",сущ: жеребец,"名: 公马, 种马","सं: घोड़ा, नर घोड़ा",اسم: فَحْل، حِصَان ذَكَر,,
manwangu,derived,b,n: king,s: reĝo,s: rey,person,,,man- + wangu,,,,,FALSE,S: König,n: roi,"сущ: король, царь",名: 国王,"सं: राजा, बादशाह",اسم: مَلِك,,
manya,derived,b,n: masculinity,s: vireco,s: masculinidad,,,,man + -ya,,,,,FALSE,"S: Männlichkeit, Maskulinität",n: masculinité,сущ: мужественность,"名: 阳刚, 男子气概","सं: पुरुषत्व, मर्दानगी",اسم: رُجُولَة، ذُكُورَة,,
manyen,derived,b,"n: male, man, young man, guy, boy, dude, bloke","s: virulo, viro","s: hombre, varón",,,,man + -yen,,,,,FALSE,"S: Mann, männliche Person, Junge, Bursche","n: mâle, homme, garçon","сущ: мужчина, парень, мальчик","名: 男性, 男人","सं: पुरुष, आदमी, लड़का",اسم: ذَكَر، رَجُل، شَابّ، صَبِيّ,,
mapa,root,b,"n: mom, dad, folks (_parents_)","s: paĉjo, panjo","s: papá, mamá",famil,,,"Am oko mama, papa.",,,,,TRUE,"S: Mama, Papa, Eltern","n: maman, papa (_parents_)","сущ: мама и папа, родители","名: 爸妈, 父母","सं: माँ-बाप, माता-पिता",اسم: أَبّ وَأُمّ، وَالِدَان,,
mapa ci,phrase,b,"n: mommy, daddy","s: paĉjo, panjo","s: papi, mami",famil,,,"mapa, ci",,,,,FALSE,"S: Mama, Papa, Mami, Papi","n: maman, papa",сущ: мамочка и папочка,名: 爸爸妈妈,सं: मम्मी-पापा,اسم: مَامَا وَبَابَا,,
maple,root,b,n: maple,s: acero,s: arce,planta,,,"Englisa (maple), Indonesisa (maple), Niponsa (メープル “mepuru”), Maharaxtrasa (मेपल “mepala”), Panjabisa (ਮੈਪਲ “mepala”), Karnatakasa (ಮ್ಯಾಪಲ್ “myapal”), Tamilsa (மேப்பிள் “mepil”)",,,,,TRUE,S: Ahorn,n: érable,сущ: клён,"名: 枫树, 枫",सं: मेपल,اسم: قَيْقَب,,
mara,root,b,"n: time, occasion",s: fojo,"s: vez, ocasión","500 maxim pimpan genulexi ji fikso, bage 2 de lista 500",,,"Doycisa (Mal), Arabisa (مرة “mara”), Swahilisa (mara)",,,,,TRUE,"S: Mal, Gelegenheit, Anlass","n: fois, occasion","сущ: раз, случай","名: 次, 回","सं: बार, दफ़ा, मरतबा",اسم: مَرَّة، مُنَاسَبَة,,
maraton,root,b,n: marathon,s: maratono,s: maratón,esportu,,,"Englisa (marathon), Espanisa (maratón), Fransesa (marathon), Rusisa (марафон “marafon”), Doycisa (Marathon), Indonesisa (maraton), Putunhwa (马拉松 “malasong”), Hindi (मैराथन “meratan”), Arabisa (مَارَاثُون “marathun”), Niponsa (マラソン “marason”), Turkisa (maraton), Koreasa (마라톤 “maraton”), Vyetnamsa (ma-ra-tông), Parsisa (ماراتون, ماراتن), Swahilisa (marathoni)",,,,,TRUE,S: Marathon,n: marathon,сущ: марафон,名: 马拉松,सं: मैराथन,اسم: مَارَاثُون، سِبَاق المَارَاثُون,,
mardiben,root,b,n: ladder,"s: ŝtupetaro, skalo",s: escalera (de mano),tul,,kompara: kaydan,"Turkisa (merdiven), Parsisa (نردبان “nardebân”)",,,,,TRUE,"S: Leiter, Stehleiter",n: échelle (_à échelons_),"сущ: лестница, стремянка",名: 梯子,सं: सीढ़ी,اسم: سُلَّم، دَرَج,,
mare,root,b,"n: (female) pastor, priestess, Mother",s: pastrino,"s: pastora, sacerdotisa",dini,,,"Am oko pare, matre.",,are,,,TRUE,"S: Pastorin, Priesterin, Mutter (_geistlich_)","n: pasteure, prêtresse, mère (_religieuse_)","сущ: священница, пасторша, мать (_религ._)","名: 女牧师, 女祭司","सं: पुरोहितन, माता (_धर्मगुरु_)",اسم: قَسِّيسَة، كَاهِنَة، الأُمّ,,
margarin,root,b,n: margarine,s: margarino,s: margarina,kokiarte,,,"Englisa (margarine), Fransesa (margarine), Doycisa (Margarine), Espanisa (margarina), Pilipinasa (margarina), Rusisa (маргарин “margarín”), Indonesisa (margarin), Turkisa (margarin), Putunhwa (麦淇淋 “maycilin”, 瑪琪琳 “macilin”, 馬芝蓮 “majilyan”, 瑪雅琳 “mayalin”), Hindi (मार्जरीन “marjarin”), Niponsa (マーガリン “magarin”), Telugusa (మార్గరైన్ “margaren”), Koreasa (마가린 “magarin”), Parsisa (مارگارین “margarin”), Swahilisa (marjarini)",,,,,TRUE,S: Margarine,n: margarine,сущ: маргарин,"名: 人造黄油, 麦淇淋",सं: मार्गरीन,اسم: مَارْجَرِين، سَمْن نَبَاتِيّ,,
marihidin,derived,b,n: Tuesday,s: mardo,s: martes,din,,,Marihi + -din,,,,,FALSE,S: Dienstag,n: mardi,сущ: вторник,"名: 星期二, 周二",सं: मंगलवार,اسم: الثُّلَاثَاء، يَوْم الثُّلَاثَاء,,
marimba,root,b,n: marimba,s: marimbo,s: marimba,musikatul,,,"Doycisa (Marimba), Englisa (marimba), Espanisa (marimba), Fransesa (marimba), Rusisa (маримба “marimba”), Putunhwa (馬林巴琴 “malinbacin”), Niponsa (マリンバ “marinba”), Koreasa (마림바 “marimba”), Arabsia (ماريمبا “marimba”), Swahilisa (marimba), Parsisa (ماریمبا “marimba”), Turkisa (marimba), Indonesisa (marimba), Pilipinasa (marimba)",,,,,FALSE,S: Marimba,n: marimba,сущ: маримба,名: 马林巴琴,सं: मैरिम्बा,اسم: مَارِيمْبَا,,
marixal,root,b,n: marshal,s: marŝalo,s: mariscal,person,,,"Englisa (marshal), Espanisa (mariscal), Fransesa (maréchal), Rusisa (маршал “marxal”), Doycisa (Marschall), Portugalsa (marechal), Italisa (maresciallo), Indonesisa (marsêkal), Pilipinasa (mariskal), Hindi (मार्शल “marxal”), Arabisa (مشير “muxir”, مارشال “marxal”), Turkisa (mareşal), Parsisa (فیلد مارشال “fild marxal”)",,,,,TRUE,S: Marschall,n: maréchal,сущ: маршал,名: 元帅,सं: मार्शल,اسم: مَارْشَال، مُشِير,,
marmelada,root,b,"n: jelly, jam, marmalade, confiture","s: marmelado, konfitaĵo, fruktaĵo",s: mermelada,kokiarte,,,"Englisa (marmalade), Fransesa (marmalade), Doycisa (Marmalade), Indonesisa (marmelade), Vyetnamsa (marmalade), Espanisa (mermelada), Rusisa (мармелад “marmelad”), Pilipinasa (marmelada), Arabisa (مَرْمَلَاد “marmalad”), Niponsa (マーマレード “mamaredo”), Turkisa (marmelat), Koreasa (레이드 “mamaleidu”), Parsisa (مارمالاد‎ “marmalad”)",,,,,TRUE,"S: Marmelade, Konfitüre, Gelee","n: confiture, gelée, marmelade","сущ: джем, варенье, конфитюр, мармелад","名: 果酱, 果冻","सं: जैम, मुरब्बा",اسم: مُرَبَّى، جَلِّي، مَرْمَلَاد,,
marmor,root,b,n: marble (_material_),s: marmoro,s: mármol,materyal,,,"Englisa (marble), Espanisa (mármol), Fransesa (marbre), Rusisa (мрамор “mramor”), Doycisa (Marmor), Indonesisa (marmer), Pilipinasa (marmol), Hindi (संगमरमर “sangmarmar”), Niponsa (マーブル “maburu”), Parsisa (mermer), Swahilisa (marumaru, marmar)",,,,,TRUE,S: Marmor (_Material_),n: marbre (_matériau_),сущ: мрамор,名: 大理石,सं: संगमरमर,اسم: رُخَام,,
marmota,root,b,"n: marmot, groundhog, woodchuck, _Marmota_",s: marmoto,s: marmota,nageyen,,,"Englisa (marmot), Doycisa (Murmeltier),Espanisa (marmota), Fransesa (marmotte), Arabisa (مَرْمُوط “marmut”), Koreasa (마멋 “mamot”), Hindi (मारमोट “marmot”), Indonesisa (marmot), Niponsa (マーモット “mamotto”), Parsisa (مارموت “mârmut”), Vyetnamsa (mác-mốt)",,,,,FALSE,S: Murmeltier,n: marmotte,сущ: сурок,"名: 旱獭, 土拨鼠",सं: मार्मट,اسم: مَارْمُوت، سِنْجَاب الأَرْض,,
marsepan,root,b,n: marzipan,s: marcipano,s: mazapán,yamxey,,,"Englisa (marzipan), Espanisa (mazapán), Fransesa (massepain), Rusisa (марципан “martsipan”), Doycisa (Marzipan), Indonesisa (marsepen), Arabisa (مَرْصَبَان “marsaban”), Parsisa (مارزیپان “marzepan”), Turkisa (masapan), Koreasa (마지팬 “majipen”), Niponsa (マルチパン “marucipan”, マジパン “majipan”), Vyetnamsa (marzipan)",,,,,FALSE,S: Marzipan,"n: massepain, pâte d'amande",сущ: марципан,"名: 杏仁糖, 杏仁膏",सं: मार्ज़िपान,اسم: مَارْزِبَان، حَلْوَى اللَّوْز,,
marsupi,root,b,"n: marsupium, pouch",s: marsupio,"s: marsupio, bolsa",jismulogi,,,"Englisa (marsupium, marsupial), Espanisa (marsupio, marsupial), Fransesa (marsupium), Doycisa (Marsupialier), Indonesisa (marsupialia), Pilipinasa (marsupial), Hindi (मारसूपियल “marsupiyal”), Telugusa (మార్సుపీలియా “marsupiliya”), Swahilisa (marsupialia)",,,,,TRUE,"S: Beuteltasche, Marsupium",n: poche marsupiale,сущ: сумка,名: 育儿袋,"सं: मार्सुपियम, थैली",اسم: كِيس جِرَابِيّ، جِرَاب (_حَيَوَانَات جِرَابِيَّة_),,
marsupiyen,derived,b,n: marsupial,s: marsupiulo,s: marsupial,hewan,,,marsupi + -yen,,,,,FALSE,"S: Beuteltier, Marsupialier",n: marsupial,сущ: сумчатое,名: 有袋动物,"सं: मार्सुपियल, थैलीधारी",اسم: حَيَوَان جِرَابِيّ,,
