code,Delete?,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
Word Not Found Explanation,FALSE,,The word ‘%1$s’ was not found in the English word list.,La vorto ‘%1$s’ ne estis trovita en la Esperanta vortolisto.,,Le mot « %1$s » n’a pas été trouvé dans la liste de mots en français.,,La palabra ‘%1$s’ no aparece en la lista de palabras en español.,,Het woord ‘%1$s’ was niet gevonden in de %2$s woordenlijst.,It wurd ‘%1$s’ wie net fûn yn de %2$s wurdlist.,A palavra '%1$s' não foi encontrada na lista de palavras em português
natlang search title bar,FALSE,,English 🡒 Globasa,Esperanto 🡒 Globasa,,Français 🡒 Globasa,,español 🡒 Globasa,,,,
tags title,FALSE,,Vocabulary Lists,Vortlistoj,,Listes de vocabulaire,,Listas de vocabulario,,,,
single tag view,FALSE,,Vocabulary List,Vortlisto,,Liste de vocabulaire,,Lista de vocabulario,,,,
tags links,FALSE,,Vocabulary Lists: %1$s,Vortlistoj: %1$s,,<strong>Listes de vocabulaire</strong> : %1$s,,Listas de vocabulario: %1$s,,,,
status archaic,FALSE,guxi,Archaic Root Word,Arkaika radiko,,Racine archaïque,,Raíz obsoleta,,,,
status official,FALSE,resmi,Official Root Word,Oficiala radiko,,Racine officielle,,Raíz oficial,,,,
status tentative,FALSE,leferesmi,Tentative Root Word,Prova radiko,,Racine à l’essai,,Raíz provisional,,,,
entry rhyming words,TRUE,,Rhyming Words:,Rimantaj Vortoj:,,,,Palabras que Riman:,,,,
entry rhymes header,FALSE,,Rhyming Words not Ending in %1$s,Rimantaj Vortoj ne Finiĝintaj per %1$s,,,,Palabras que Riman no Terminadas en %1$s,,,,
entry note am oko,FALSE,,See,Vidu,,,,Ver,,,,
entry note kurto lexi,FALSE,,Short word for,Mallonga vorto por,,,,Palabra corta para,,,,
entry note kompara,FALSE,,Compare meaning with,Komparu signifon kun,,,,Comparar significado con,,,,
entry note Am oko tabellexi,TRUE,,See [Correlatives](https://xwexi.globasa.net/eng/gramati/tabellexi),Vidu [Korelativoj](https://xwexi.globasa.net/epo/gramati/tabellexi),,,,Ver [Correlativos](https://xwexi.globasa.net/spa/gramati/tabellexi),,,,
entry note gramati,FALSE,,See,Vidu,,,,Ver,,,,
entry note gramati inharelexi,FALSE,,Content Words,Enhavaj Vortoj,,,,Palabras de contenido,,,,
entry note gramati tabellexi,FALSE,,Correlatives,Korelativoj,,,,Correlativos,,,,
entry note Nota,TRUE,,"? Nothing needed for this? Just show the note? Ugh, but it would be uniligual. I see why this seemed confusing. Hm.",,,,,,,,,
