Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
canal	root	n	channel, canal			kanalo	canal						Englisa (channel, canal), Espanisa (canal), Fransesa (chaîne), Rusisa (канал “kanal”), Doycisa (Kanal), Indonesisa (kanal), Pilipinasa (kanal, channel), Hindisa (चैनल “cenal”), Arabisa (قَنَاة “kanah”), Niponsa (チャンネル “canneru”), Telugusa (ఛానల్ “canal”), Turkisa (kanal), Hangusa (채널 “cenol”), Vyetnamsa (kênh), Parsisa (کانال “kanal”), Swahilisa (chaneli)		chaîne	канал	
candru	root	n	_**n**_  moon		reviewed	luno	luna (satélite natural)					kosmo	Hindisa (चांद “chand”), Telugusa (చంద్రుడు “chandruḍu”), Indonesisa (candra)	leferesmi			
cane	root	n/f.oj	_**n/v.tr**_ comb			kombilo; kombi	peine; peinar						Swahilisa (-chana), Parsisa (شانه “xane”)				
canfen	root	n	_**n**_ ingredient			ingredienco	ingrediente						Putunhwa (成分 “chéngfèn”), Vyetnamsa (thành phần)				
care	root	num	_**num**_ four		reviewed	kvar	cuatro						Hindisa (चार “car”), Parsisa (چهار “čahâr”)	leferesmi			
carme	root	n/f.oro.b	_**n**_  charm, enchantment; _**v.ambi.p**_ charm, enchant		reviewed	ĉarmo; ĉarmi	encanto; encantar						Englisa (charm), Fransesa (charme), Doycisa (Charme), Rusisa (шарм “xarm”), Niponsa (チャーム “chamu”)	leferesmi			
cati	root	n	_**n**_  chest (_anatomy_)		reviewed	brusto	pecho					jismulogi	Hindisa (छाती “cati”), Telugusa (ఛాతి “chāti”)	leferesmi			
cawdar	root	n	_**n**_ rye			sekalo	centeno					yamxey	Arabisa (جَاوْدَار “jawdar”), Turkisa (çavdar), Parsisa (چاودار “cavdar”, جودر “jowdar”, “jawdar”)				
cay	root	n	_**n**_  tea		reviewed	teo	té					gluxey	Putunhwa (茶 “chá”), Hindisa (चाय “chaay”), Arabisa (شَاي “šāy”)  Rusisa (чай “čay”), Portugalsa (chá), Niponsa (茶 “cha”), Turkisa (çay), Hangusa (차 “cha”), Vyetnamsa (trà, chè), Parsisa (چای “cay”), Swahilisa (chai), Pilipinasa (tsa)	leferesmi			
cebula	root	n	_**n**_  onion		reviewed	cepo	cebolla					yamxey	Doycisa (Zwiebel), Espanisa (cebolla), Polskasa (cebula)	leferesmi			
cel	root	p	_**prep**_ to, for (_denotes destination/goal, intention to attain_); -wards		reviewed	al, por (_montri celon, intencon atingi_); -en	a, para, hacia (_denota destinación/meta, intención a lograr_)						Am oko _cele_.	leferesmi			
cele	root	n/f.oj	_**n**_  goal, target, purpose; _**v.tr**_ aim (at), target		reviewed	celo; celi	meta, propósito; apuntar						Rusisa (цель “tsel”), Doycisa (Ziel), Magyarsa (cél)	leferesmi			
cemento	root	n	_**n**_ cement			cemento	cemento						Italisa (cemento), Espanisa, Englisa (cement), Fransesa (ciment), Rusisa (цемент “tsement”), Doycisa (Zement), Indonesisa (semen), Pilipinasa (simento, semento), Putunhwa (士敏土 “ximintu”), Hindisa (सीमेंट “siment”), Arabisa (أَسْمَنْت “asmant”), Niponsa (セメント “semento”), Telugusa (సిమెంట్ “siment”, సిమెంటు “simentu”), Turkisa (çimento), Hangusa (시멘트 “ximentu”), Vyetnamsa (xi măng), Parsisa (سیمان “simân”), Swahilisa (simiti, sementi)				
cen	root	num	_**num**_ (one) hundred		reviewed	cent	cien						Englisa (century), Fransesa (cent), Espanisa (cien), Indonesisa ( ), Hangusa, Niponsa, Hindisa, Swahilisa	leferesmi			
cengu	root	n	_**n**_ layer		reviewed	tavolo	capa, estrato						Putunhwa (层 “céng”), Hangusa (층 “cheung”)	leferesmi			
censu	root	t	_**adj/adv**_  mature, maturely		reviewed	matura; mature	maduro						Putunhwa (成熟 “chéngshú”), Hangusa (성숙 “seongsug-”)	leferesmi			
centi	root	num	_**num**_ 1 x 10^-2, one hundredth of, percent of 	one hundredth of, hundredth, percent of, percent		centono	1 x 10⁻2, centésima parte de, por ciento						Doycisa (Zentimeter), Englisa (centimeter), Fransesa (centimètre), Rusisa (сантиметр “santimetr”), Espanisa (centímetro), Turkisa (santimetre), Indonesisa (sentimeter), Pilipinasa (sentimetro), Arabisa (سِنْتِيمِتْر “sintimitr”), Parsisa (سانتی‌متر “sânti-metar”), Swahilisa (sentimita), Hindisa (सेंटीमीटर “sentimitar”), Telugusa (సెంటీమీటరు “sentimitaru”), Niponsa (センチメートル “sencimetoru”), Hangusa (센티미터 “sentimito”), Vyetnamsa (centimét, xen-ti-mét)				
centro	root	n/f.oro.b	_**n/v.ambi.p**_  center, centre		reviewed	centro; centri	centro						Englisa (centre, center), Doycisa (Zentrum), Fransesa (centre), Espanisa (centro), Italisa, Rusisa (центр “centr”), Hindisa (केंद्र “kendr”), Telugusa (కేంద్రం “kēndraṃ”), Elinisa (κέντρο “kentro”)	leferesmi			
ceramika	root	n	ceramic			ceramiko	cerámica						Englisa (ceramic), Espanisa (cerámica), Fransesa (céramique), Rusisa (керамика “keramika”), Doycisa (Keramik), Portugalsa (cerâmica), Italisa (ceramica), Indonesisa (keramik), Pilipinasa (seramik), Arabisa (سيراميك “siramik”), Niponsa (セラミックス “seramikusu”), Telugusa (సిరామిక్ “siramik”), Turkisa (seramik), Hangusa (세라믹스 “seramiksu”), Parsisa (سرامیک “serâmik”)				
ceri	root	n	_**n**_  cherry		reviewed	ĉerizo	cereza					fruta, yamxey	Englisa (cherry), Fransesa (cerise), Rusisa (черешня “cerexnya”), Espanisa (cereza), Hindisa (चेरी “ceri”), Indonesisa (ceri), Pilipinasa (seresa), Niponsa (チェリー “ceri'), Hangusa (체리 “ceri”), Swahilisa (cheri)	leferesmi			
Cernagora	root	n	_**n**_ Montenegro		reviewed	Montenegro	Montenegro					dexa	Cernagorasa (Црна Гора “Crna Gora”)	leferesmi			
ceryum	root	n	_**n**_ cerium			cerio	cerio					kimikali monlari	Englisa (cerium), Espanisa (cerio), Arabisa (سِيرْيُوم “siryum”), Fransesa (cérium), Rusisa (церий “tseriy”), Indonesisa (serium), Doycisa (Cer), Niponsa (セリウム “seriumu”), Telugusa (సీరియం “siriyam”), Turkisa (seryum), Hangusa (세륨 “seryum”), Vyetnamsa (xeri), Parsisa (سریم “seriom”), Swahilisa (ceri), Pilipinasa (ceryo)				
Ceski	root	n	_**n**_  Czech Republic, Czechia		reviewed	Ĉeĥio, Ĉeĥujo	República Checa, Chequia	Tschechien, Tschechische Republik				dexa	Ceskisa (Česká republika, Česko)	leferesmi			
cesyum	root	n	_**n**_ caesium			cezio	cesio	Cäsium, Zäsium, Caesium				kimikali monlari	Englisa (caesium), Putunhwa (銫 “se”), Espanisa (cesio), Arabisa (سِيزْيُوم “sizyum”), Fransesa (césium), Rusisa (цезий “tseziy”), Indonesisa (sesium), Doycisa (Cäsium, Zäsium), Niponsa (セシウム “sexiumu”), Telugusa (సీసియం “sisiyam”), Turkisa (sezyum), Hangusa (세슘 “sexyum”), Vyetnamsa (xêsi), Parsisa (سزیم “seziyom”), Swahilisa (caesi), Pilipinasa (sesyo, sesyum)				
ci	root	par	_**part**_ denotes endearment or affection		reviewed	-ĉjo, -njo (por karese nomi)	denota cariño						Englisa (-y), Espanisa (-cita, -cito), Fransesa (-in, -ine), Rusisa (-ша “-xa”, -ичка “-icka”, -ик “-ik”), Doycisa (-i, -chen), Putunhwa (小 “xyaw”), Hindisa (-ई “-i”), Niponsa (ちゃん “cyan”), Turkisa (-cık, -cik, -çık, -çik), Parsisa (چه- “-ce”)	leferesmi			
cibo	root	n	_**n**_  fat		reviewed	graso	grasa						Putunhwa (脂肪 “zhīfáng”), Hangusa (지방 “jibang”), Niponsa (脂肪 “ shibō”)	leferesmi			
cidra	root	n	cider, apple wine			cidro, pomvino	sidra						Englisa (cider), Espanisa (sidra), Fransesa (cidre), Rusisa (сидр “sidr”), Doycisa (Cidre), Indonesisa (sider), Pilipinasa (sidra), Arabisa (سِيدَر “sidar”), Niponsa (シードル “xidoru”), Vyetnamsa (cider), Parsisa (سیدر “sidar”), Swahilisa (sida, saida)				
Cile	root	n	_**n**_  Chile		reviewed	Ĉilio	Chile					dexa	Espanisa (Chile)	leferesmi			
cilindro	root	n	_**n**_ cylinder			cilindro	cilindro						Italisa (cilindro), Espanisa, Englisa (cylinder), Fransesa (cylindre), Rusisa (цилиндр “tsilindr”), Doycisa (Zylinder), Pilipinasa (silinder), Hindisa (सिलिंडर “silindar”), Niponsa (シリンダー “xirinda”), Turkisa (silindir), Hangusa (실린더 “xillinda”), Vyetnamsa (xi lanh), Parsisa (سیلندر “silandr”)				
cimpanze	root	n	chimpanzee, _Pan troglodytes_			ĉimpanzo	cimpancé	Schimpansin				hewan	Englisa (chimpanzee), Pilipinasa, Espanisa (chimpancé), Fransesa (chimpanzé), Rusisa (шимпанзе “ximpanze”), Doycisa (Schimpansin), Indonesisa (simpanse), Hindisa (चिंपांजी “cimpanji”, चिंपाजी “cimpaji”), Arabisa (شِمْبَانْزِي “ximbanzi”), Niponsa (チンパンジー “cinpanji”), Turkisa (şempanze), Hangusa (침팬지 “cimpenji”), Parsisa (شمپانزه “xampanze”)				
cincila	root	n	chinchilla			ĉinĉilo	chinchilla					hewan	Englisa (chinchilla), Espanisa (chinchilla), Fransesa (chinchilla), Rusisa (шиншилла "xinxilla"), Doycisa (Chinchilla), Indonesisa (chinchilla), Arabisa (شنشيلة "xinxila"), Niponsa (チンチラ "cincira"), Turkisa (çinçilya) Vyetnamsa (chinchila), Hangusa (친칠라 "cincila"), Parsisa (چینچیلا "cincila")				
cindan	root		diagnosis; diagnose			diagnozo; diagnozi						medis	Putunhwa (诊断 "jendwan"), Niponsa (診斷 "xindan"), Vyetnamsa (chẩn đoán), Hangusa (진단 "jindan"), Hindisa (निदान "nidan")				
cine	root	n	_**n**_ chin			mentono	barbilla	Kinn				jismulogi	Englisa (chin), Doycisa (Kinn), Turkisa (çene), Parsisa (چانه‎ “čâne”)				
cinju	root	n	_**n**_ pearl			perlo	perla						Rusisa (жемчуг “jemcuk”), Putunhwa (珍珠 “jenju”), Turkisa (inci), Hangusa (진주 “cinju”), Vyetnamsa (trân châu)				
cinon	root	n	intelligence			inteligenteco, inteligento							Putunhwa (智能 “jinen”), Hangusa (지능 “jinun”), Niponsa (知能 “cino”), Vyetnamsa (trí năng “cinan”)				
cipen	root	n/f.oro.a	_**n**_ deception, deceit; _**v.ambi.a**_ deceive, cheat (on somebody)		reviewed	trompo; trompi	engaño; engañar						Putunhwa (欺骗 “qīpiàn”)	leferesmi			
cirkus	root	n	_**n**_ circus			cirko	circo	Zirkus				dom	Englisa (circus), Italisa (circo), Espanisa, Fransesa (cirque), Rusisa (цирк “tsirk”), Doycisa (Zirkus), Indonesisa (sirkus), Pilipinasa (sirk), Hindisa (सर्कस “sarkas”), Arabisa (سِيرْك “sirk”), Niponsa (サーカス “sakasu”), Telugusa (సర్కస్ “sarkas”), Turkisa (sirk), Hangusa (서커스 “sakasu”), Vyetnamsa (xiếc), Parsisa (سیرک “sirk”), Swahilisa (sarakasi)				
cis	root	p	_**prep**_ on this side of		reviewed	cis, ĉiflanke de	a este lado de						Doycisa (zis-, cis-), Englisa (cis-), Espanisa (cis-), Fransesa (cis-), Rusisa (цис- “tsis-”),Turkisa (cis-)	leferesmi			
cita	root	n	cheetah			gepardo	guepardo, chita						Englisa (cheetah), Espanisa (chita), Indonesisa (citah), Pilipinasa (cheetah), Hindisa (चीता “cita”), Niponsa (チーター “cita”), Turkisa (çita), Hangusa (치타 “cita”), Parsisa (چیتا “cita”)				
cokolate	root	n	_**n**_  chocolate		reviewed	ĉokolado	chocolate	Schokolade				yamxey	Englisa (chocolate), Fransesa (chocolat), Doycisa (Schokolade), Rusisa (шоколад “šokolad”), Espanisa (chocolate), Arabisa (شُوكُولَاتَة “šukūlāta, šokolāta”), Hindisa (चॉकलेट “cŏkleṭ”, चाकलेट “cākleṭ”), Telugusa (చాకొలెట్ “cākoleṭ”), Parsisa (شکلات “šokolât”), Turkisa (çikolata), Indonesisa (cokelat), Pilipinasa (tsokolate), Swahilisa (chokoleti), Putunhwa (巧克力 “qiǎokèlì”), Hangusa (초콜렛 “chokollet”, 초콜릿 “chokollit”), Niponsa (チョコレート “chokorēto”), Vyetnamsa (sô-cô-la)	leferesmi			
colo	root	t	_**adj/adv**_  ugly		reviewed	malbela; malbele	feo			meli			Putunhwa (丑陋 “chǒulòu”)	leferesmi			
comen	root	n	_**n**_  side		reviewed	flanko	lado						Putunhwa (侧面 “cèmiàn”), Hangusa (측면 “cheugmyeon”), Niponsa (側面 “Sokumen”)	leferesmi			
conce	root	n	_**n**_  beak		reviewed	beko	pico (de un ave)					jismulogi	Hindisa (चोंच “chonch”)	leferesmi			
cori	root	n/f.oro.a	_**n**_  theft; _**v.ambi.a**_ steal		reviewed	ŝtelo; ŝteli	robo, hurto; robar, hurtar						Hindisa (चोरी “cori”), Indonesisa (curi)	leferesmi			
cosan	root	n/f.oro.a	_**n/v.ambi.a**_ praise, compliment, admire		reviewed	laŭdo, komplimento, admiro; laŭdi, komplimenti, admiri	elogio; elogiar						Putunhwa (称赞 “chēngzàn”), Hangusa (칭찬 “chingchan”), Niponsa (賞賛 “shōsan”)	leferesmi			
cote	root	t	_**adj/adv**_  short, low		reviewed	malalta; malalte	bajo			gao			Hindisa (छोटा “cota”, छोटी “coti”)	leferesmi			
coxo	root	n/f.oro.a	_**n**_ mockery, ridicule, derision; _**v.ambi.a**_ mock, ridicule, deride, scoff, sneer			moko; moki	burla, mofa, ridículo; burlarse de, ridiculizar, mofarse de						Putunhwa (嘲笑 “cháoxiào”), Niponsa (嘲笑 “chōshō”), Hangusa (조소 “joso”)				
cucu	root	n	_**n**_ nipple			cico	teta					jismulogi	Swahilisa (chuchu), Hindisa (चुचुक “cucuk”), Indonesisa (puting susu), Pilipinasa (suso), Rusisa (сосок “sosok”), Turkisa (meme ucu), Niponsa (乳首 “cicikubi”)				
cudu	root	n/f.oj	_**n**_  acquisition, gain; _**v.tr**_ obtain, acquire, take, get, gain		reviewed	akiro, ekhavo, preno; akiri, ekhavi, preni	adquisición, obtención; obtener, adquirir, tomar, conseguir, ganar						Putunhwa (取得 “qǔdé”), Hangusa (취득 “chwideug”)	leferesmi			
cufam	root	n/f.oro.a	_**n**_  offense, _**v.ambi.a**_ offend		reviewed	ofendo; ofendi	ofensa; ofender						Putunhwa (触犯 “chùfàn”), Vyetnamsa (xúc phạm)	leferesmi			
cugaku	root	n	antenna (_biology_), feeler			anteno (_biologia_)	antena (_biología_)					jismulogi	Putunhwa (触角 “cujyaw”), Niponsa (触角 “xokkaku”), Vyetnamsa (xúc giác), Hangusa (촉각 “cokgak”), Rusisa (сяжок “syajok”), Pilipinasa (sungot), Parsisa (شاخک “xahak”)				
cuki	root	n	_**n**_ cycle			ciklo	ciclo						Putunhwa (周期 “jowci”), Hangusa (주기 “jugi”), Niponsa (周期 “xuki”), Vyetnamsa (chu kỳ “cuki”)				
Cungwo	root	n	_**n**_  China		reviewed	Ĉinio, Ĉinujo	China					dexa	Putunhwa (中国 “zhōngguó”), Hangusa (중국 “jung-gug”), Niponsa (中国 “chūgoku”), Vyetnamsa (Trung Quốc)	leferesmi			
curuko	root		bruise, contusion			kontuzo; kontuziĝi, kontuzi							Turkisa (çürük), Swahilisa (cubuko)				
cuyo	root	t	_**adj/adv**_  main, mainly, primary, primarily, principal, chief, chiefly		reviewed	ĉefa, precipa; ĉefe, precipe	principal						Putunhwa (主要 “zhǔyào”), Vyetnamsa (chủ yếu), Niponsa (主要 “shuyō”), Hangusa (주요 “juyo”)	leferesmi			
cwenton	root	n	_**n**_ tradition			tradicio	tradición						Putunhwa (传统 “chuántǒng”), Hangusa (전통 “jeontong”), Vyetnamsa (truyền thống), Niponsa (伝統 “dentō”)				
cyan	root	t	_**adj/adv**_  cyan		reviewed	bluverda; bluverde	cian					kolor	Englisa (cyan), Fransesa (cyan), Doycisa (Zyan), Rusisa, Espanisa (cian), Hindisa (क्यान “kyan”), Niponsa (シアン “xian”), Hangusa (시안 “xian”), Parsisa (سیان‎ “siyân”)	leferesmi			
da	root	pn	_**pron**_ (_relative pronoun_) he, she, it, they			(_relativa pronomo_) li, ŝi, ri, ĝi, ili	(_pronombre relativo_) él, ella, ellos, ellas						Doycisa (das), Englisa (that), Putunhwa (它 “tā”)				
dabihu	root	n/f.oro.a	_**n**_  sacrifice, offering; _**v.ambi.a**_ sacrifice		reviewed	ofero; oferi	sacrificio, ofrenda; sacrificar						Arabisa (ذبيحة “dhabiha”), Swahilisa (dhabihu), Parsisa (ذبح “zebh”)	leferesmi			
dadal	root	n/f.oro.a	_**n**_  achievement, accomplishment; _**v.ambi.a**_ reach, achieve, accomplish		reviewed	atingo; atingi	logro; lograr						Putunhwa  (达到 “dadao”), Hangusa (닿다 “dahda”, 도달 “dodal”)	leferesmi			
dadu	root	n	_**n**_ die, dice			ĵetpluredro, ludkubo	dado						Espanisa (dado), Italisa (dado), Pilipinasa (dado), Portugalsa (dado), Indonesisa (dadu), Swahilisa (dadu)				
dahabu	root	n	_**n**_  gold		reviewed	oro	oro					kimikali monlari	Arabisa (ذهب “dahab”), Swahilisa (dhahabu), Parsisa (ذهب “zahab”)	leferesmi			
dahun	root	n	_**n**_ leaf, sheet		reviewed	folio	hoja						Indonesisa (daun), Pilipinasa (dahon)	leferesmi			
daif	root	t	_**adj/adv**_  weak, weakly		reviewed	febla, malforta; feble, malforte	débil			bala			Arabisa (ضعيف “daif”), Swahilisa (dhaifu), Indonesisa (daif), Turkisa (zayıf), Parsisa (ضعیف “zaif”)	leferesmi			
daju	root	t	_**adj/adv**_ approximate, approximately, around, about, rough, roughly		reviewed	aproksima, proksimuma; aproksime, proksimume	aproximadamente, más o menos			preciso			Putunhwa (大致 “daji”), Hangusa (대충 “decung”)	leferesmi			
dalu	root	n/f.oro.b	_**n/v.ambi.p**_ shield		reviewed	ŝildo, ŝildado; ŝildi	escudo						Hindisa (ढाल “ḍhāl”), Telugusa (డాలు “ḍālu”)	leferesmi			
dama	root	n	_**n**_ checkers, draughts			damludo, damoj	damas (_juego_)						Espanisa (damas), Fransesa (dames), Doycisa (Dame), Indonesisa (dam), Pilipinasa (dama), Turkisa, Swahilisa, Arabisa (دَامَا‎, دَامَة‎, ضَامَة “dama”), Parsisa (دام “dam”)				
dambi	root	n/f.nenoj	_**n/v.intr**_ sin			peko; peki	pecado; pecar						Arabisa (ذَنْب “danb”), Swahilisa (dhambi)				
dambo	root	t	_**adj/adv**_  thin, thinly		reviewed	maldika; maldike	delgado			mote			Putunhwa (单薄 “dānbó”)	leferesmi			
damu	root	n/f.oro.a	blood		reviewed	sango	sangre						Arabisa (دم “dam”), Swahilisa (damu), Telugusa (రక్తము “raktamu”), Ivrisa (דָּם “dam”)	leferesmi			
danglan	root	n	(praying) mantis			manto	mantis (religiosa)						Putunhwa (螳螂 “tanglang”), Hangusa (당랑 “dangnang”)				
Dani	root	n	_**n**_ Denmark		reviewed	Danio, Danlando, Danujo	Dinamarca					dexa	Danisa (Danmark)	leferesmi			
danse	root	n/f.oro.a	_**n/v.ambi.a**_ dance		reviewed	danco; danci	baile; bailar						Englisa (dance), Fransesa (danse), Doycisa (Tanz, tanzen), Rusisa (танцевать “tantsevat”), Espanisa (danza), Turkisa (dans), Indonesisa (dansa), Niponsa (ダンス “dansu”), Hangusa (댄스 “densu”), Parsisa (دانس “dâns”), Swahilisa (dansi, densi)	leferesmi			
danyam	root	n	grain, cereal, corn			greno, cerealo							Hindisa (धान्य "danya"), Telugusa (ధాన్యము "danyamu"), Tamilsa (தனியா "taniya"), Keralasa (ധാന്യം "danyam")				
dao	root	n/f.oro.a	_**n**_  path, way; _**v.ambi.a**_ travel 		reviewed	vojo, irejo; vojaĝi, laŭiri, veturi	camino, senda, vía; viajar						Putunhwa (道 “dào”)	leferesmi			
daraje	root	n	_**n**_  degree, grade, level		reviewed	grado, nivelo	grado, nivel						Arabisa (درجة “daraja”), Parsisa (درجه “daraje”), Indonesisa (derajat), Turkisa (derece)	leferesmi			
darbe	root	n/f.oro.a	_**n**_  strike, blow; _**v.ambi.a**_ hit, strike, beat		reviewed	bato, frapo; bati, frapi	golpe; golpear						Arabisa (ضربة “darba”), Turkisa (darbe), Parsisa (ضربه “zarbe”)	leferesmi			
darcini	root	n	_**n**_ cinnamon			cinamo	canela					yamxey	Hindisa (दारचीनी “darcini”), Arabisa (دَارْصِينِيّ “darsini”), Telugusa (దాల్చిన “dalcina”), Turkisa (tarçın), Parsisa (دارچین “darcin”), Swahilisa (dalasini)				
dari	root	n	digit (_finger or toe_)	digit, finger, toe		fingro (_mana aŭ pieda_)	dedo (_de la meno o del pie_)					jismulogi	Indonesisa (jari), Pilipinasa (daliri)				
darmestatyum	root	n	_**n**_ darmstadtium			darmŝtatio	darmstatio					kimikali monlari	Englisa (darmstadtium), Putunhwa (鐽 “da”), Hindisa (डार्मस्टाडियम “darmstadiyam”), Espanisa (darmstatio), Arabisa (دَارْمْشْتَادْتِيُوم “darmxtadtiyum”), Fransesa (darmstadtium), Rusisa (дармштадтий “darmxtadti”), Indonesisa (darmstadtium), Doycisa (Darmstadtium), Niponsa (ダームスタチウム “damusutaciumu”), Telugusa (డామ్‌స్టాటియం “damstatiyam”), Turkisa (darmstadtiyum), Hangusa (다름슈타튬 “darumxutatym”), Vyetnamsa (darmstadti), Parsisa (دارمشتادیم “darmextadiyom”), Swahilisa (darmstadti), Pilipinasa (darmstadtyo)				
darsu	root	n	_**n**_  lesson, class		reviewed	leciono, klaso	lección, clase						Arabisa (درس “dars”), Parsisa (درس “dars”), Turkisa (ders)	leferesmi			
data	root	n	_**n**_ datum, data		reviewed	datumo(j), dateno(j)	dato						Doycisa (Daten), Englisa (data), Espanisa (datos), Hindisa (डेटा “ḍeṭā”, डाटा “ḍāṭā”), Swahilisa (data), Indonesisa (data), Pilipinasa (datos), Niponsa (データ “dēta”), Hangusa (데이터 “deito”), Turkisa (data), Vyetnamsa (đa ta), Parsisa (داده‌ها “dâde-hâ”)	leferesmi			
dava	root	n	_**n**_  drug		reviewed	medikamento, kuracilo, drogo	droga, medicamento						Arabisa (دواء “dawa”), Hindisa (दवा “dava”), Swahilisa (dawa)	leferesmi			
Dawn	root	n	Down (name)			Down, Daŭn (nomo)	Down (nombre)						Englisa (Down)				
day	root	t	_**adj/adv**_  big, large, great, major, greatly		reviewed	granda, ega; grande, ege	grande			lil			Putunhwa (大 “dà”), Niponsa (大 “dai-”)	leferesmi			
dayra	root	n	_**n**_  circle		reviewed	cirklo	círculo						Arabisa (دائرة “dayira”), Parsisa (دایره “dayere”), Swahilisa (duara), Turkisa (daire)	leferesmi			
de	root	p	_**prep**_ of, belonging (to), (_equivalent to_) -'s (_genitive case_)		reviewed	de, apartenante (al)	de (_perteneciente a_)						Fransesa (de), Espanisa (de), Putunhwa (的 “de”)	leferesmi			
debate	root	n/f.oro.a	_**n**_  debate; _**v.ambi.a**_ debate		reviewed	debato; debati	debate; debatir						Englisa (debate), Fransesa (débat), Doycisa (Debatte), Rusisa (дебаты “debati”), Espanisa (debate), Indonesisa (debate), Niponsa (ディベート “dibeto”)	leferesmi			
deci	root	num	_**num**_ 1 x 10^-1, one tenth of			dekono	1 x 10⁻1, décima parte de						Englisa (deci-), Fransesa (décimètre), Doycisa (Dezimeter), Rusisa (дециметр “decimetr”), Espanisa (decimetro), Arabisa, Hindisa (डेसिमीटर “desimitar”), Telugusa (డెసీమీటరు “desimitaru”), Parsisa (دسی “desi-”), Turkisa (desimetre), Indonesisa (desimeter), Pilipinasa (desimetro), Swahilisa (desimita), Vyetnamsa (đêximét, đềximét), Niponsa (デシメートル “deximetoru”), Hangusa (데시미터 “desimito”)				
deha	root	n	_**n**_ village		reviewed	vilaĝo	aldea, pueblo						Rusisa (деревня “derevnja”), Espanisa (aldea), Indonesisa (desa), Arabisa (ضيعة “ḍayʿa”), Parsisa (ده “deh”)	leferesmi			
deklara	root	n/f.oj	_**n**_  declaration, statement; _**v.tr**_ declare, state, claim		reviewed	deklaro, aserto; deklari, aserti	declaración; declarar						Englisa (declaration), Fransesa (déclaration), Doycisa (Deklaration), Rusisa (декларация “deklaratsiya”), Espanisa (declaración), Turkisa (deklarasyon), Pilipinasa (deklarasyon)	leferesmi			
dekora	root	n/f.oro.a	_**n**_ decoration, ornament; _**v.ambi.a**_ decorate			dekoracio, dekoro, ornamo; dekoracii, dekori, ornami	decoración, adorno; decorar, adornar						Englisa (decoration), Fransesa (décoration), Doycesa (Dekoration), Espanisa (decoración), Niponsa (デコレーション “dekorēshon”), Turkisa (dekorasyon), Indonesisa (dekorasi), Pilipinasa (dekorasyon)				
deleza	root	n/f.oro.b	slide, glide, slip			glito; gliti							Espanisa (deslizar), Swahilisa (-teleza)	leferesmi			
demo	root	n	_**n**_  (the) public, (a) people, peoples, population		reviewed	popolo, populacio	público						Englisa (democracy), Fransesa (démocratie), Doycisa (Demokratie), Rusisa (демократия “demokratiya”), Espanisa (democracia), Arabisa (دِيمُقْرَاطِيَّة “dīmuqrāṭiyya”), Parsisa (دموکراسی “demokrâsi”), Turkisa (demokrasi), Swahilisa (demokrasia), Indonesisa (demokrasi), Pilipinasa (demokrasya)	leferesmi			
demoni	root	n	_**n**_ demon			demono	demonio					dini	Englisa (demon, demonic), Espanisa (demonio), Fransesa (démon, démoniaque), Rusisa (демон “demon”, демонический “demoniceski”), Doycisa (Dämon, dämonisch), Indonesisa (demon), Turkisa, Pilipinasa (demonyo), Niponsa (デーモン “demon”), Hangusa (데몬 “demon”)				
den	root	d	_**det**_ that, those, the [see [Correlatives](https://www.xwexi.globasa.net/eng/gramati/tabellexi)]		reviewed	tiu, ti- [korelativa]	ese, esa, eso, esos, esas, aquel, aquella, aquello, aquellos, aquellas						Doycisa (den)	leferesmi			
denta	root	n	_**n**_  tooth		reviewed	dento	diente					jismulogi	Hindisa (दांत “daant”), Englisa, Fransesa, Doycisa (dental), Rusisa (дентальный “dentalny”), Espanisa	leferesmi			
departamen	root	n	_**n**_ department			departemento	departamento						Englisa (department), Fransesa (département), Rusisa (департамент “departament”), Espanisa (departamento), Indonesisa (departemen), Pilipinasa (departamento), Turkisa (departman). Am kompara: _apartamen_.				
depresi	root	n/f.oro.b	_**n**_ depression; _**v.ambi.p**_ depress			depresio, deprimo; deprimiĝi, deprimi	depresión; deprimirse						Doycisa (Depression), Englisa (depression), Espanisa (depresión), Fransesa (dépression), Rusisa (депрессия “depressiya”), Indonesisa (depresi), Pilipinasa (depresyon), Turkisa (depresyon), Hindisa (डिप्रेशन “diprexan”), Telugusa (డిప్రెషన్ “diprexan”)				
des	root	num	_**num**_ ten		reviewed	dek	diez						Hindisa (दस “das”), Espanisa (diez), Rusisa (десять “desyat”), Pilipinasa (diyes)	leferesmi			
destrui	root	n/f.oro.a	_**n**_  destruction; _**v.ambi.a**_ destroy		reviewed	detruo; detrui	destrucción; destruir						Englisa (destroy), Doycisa (destruieren), Fransesa (détruire), Espanisa (destruir)	leferesmi			
detale	root	n/f.oj	detail			detalo	detalle						Englisa (detail), Fransesa (détail), Doycisa (Detail), Rusisa (деталь “detal”), Espanisa (detalle), Turkisa (detay), Pilipinasa (detalye)				
dexa	root	n	_**n**_  country		reviewed	lando	país						Hindisa (देश “desh”), Telugusa (దేశం “dēśaṁ”), Indonesisa (desa), Banglasa (দেশ “desh”)	leferesmi			
