Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,StatusEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,LexiliEstatus,TranslationFra,TranslationRus,TranslationZho
adrenalin,root,n,TRUE,"adrenaline, epinephrine",,,"adrenalino, epinefrino","adrenalina, epinefrina",,,,,,"Arabisa (أَدْرِينَالِين‎ “ʾadrīnālīn”), Fransesa (adrénaline), Doycisa (Adrenalin), Hindisa (एड्रेनालाईन “eḍrenālāīn”), Niponsa (アドレナリン “adorenarin”), Hangusa (아드레날린 “adeurenallin”), Rusisa (адреналин “adrenalin”), Espanisa (adrenalina), Swahilisa (adrenalini), Pilipinasa (adrenalina), Turkisa (adrenalin), Vyetnamsa (adrenaline)",,,,
adresu,root,n/f.oj,TRUE,address; address (_mail_),,reviewed,adreso; adresi,"dirección, domicilio; poner la dirección de alguien en","Anschrift, Adresse; (_einen Brief/ein Paket_) adressieren",,,"Fe lutuf, am irsal misu paketi cel hin adresu.",,"Fransesa (adresse), Englisa (address), Doycisa (Adresse), Rusisa (адрес “adres”), Indonesisa (adres), Pilipinasa (adres), Turkisa (adres), Niponsa (アドレス “adoresu”), Parsisa (آدرس “âdres”)",leferesmi,,,
afarin,root,n/f.oro.a; il,TRUE,"applause; applaud, clap; well done, good job, bravo",,,"aplaŭdo; aplaŭdi; bone farita, brave","aplauso; aplaudir; bien hecho, bravo",,,,,intrelogalexi,"Hindisa (आफ़रीन “āfrīn”), Arabisa (عَفَارِم “ʿafārim”), Niponsa (あっぱれ “appare”), Turkisa (aferin), Parsisa (آفرین “âfarin”)",,,,
afatu,root,n,TRUE,"disaster, catastrophe, calamity",,,katastrofo,"desastre, catástrofe, calamidad",,,,,,"Hindisa (आफ़त “afat”), Arabisa (آفَة “afa”), Turkisa (afet), Parsisa (آفت “afat”), Swahilisa (afa)",,,,
agil,root,t,TRUE,agile,,reviewed,facilmova; facilmove,ágil,"beweglich, geschickt, geschmeidig, flink, agil",,,,,"Englisa (agile), Fransesa (agile), Doycisa (agil), Espanisa (agil), Makedonisa (агилен “agilen”)",leferesmi,,,
aham,root,n/f.oro.a; il,TRUE,"comprehension, understanding; understand, comprehend; I see, understood",,reviewed,"kompreno; kompreni; mi komprenas, komprenita","entendimiento, comprensión; entender, comprender",,,,,intrelogalexi,"Arabisa (فهم “fahum”), Swahilisa (-fahamu), Indonesisa (paham, memahami), Parsisa (فهم “fahm”), Englisa (aha moment)",leferesmi,,,
ajabu,root,t,TRUE,"strange, strangely, weird, weirdly, odd, oddly, peculiar, pecularly",,reviewed,"stranga, bizara, kurioza; strange, bizare, kurioze","extraño, raro",,,,,,"Hindisa (अजीब “ajib”), Parsisa (عجیب “ajib”), Turkisa (acayip), Swahilisa (ajabu), Arabisa (عجيب “ajib”)",leferesmi,,,
akademi,root,n,TRUE,academy,,,akademio,academia,,,,,eskolya,"Doycisa (Akademie), Englisa (academy), Espanisa (academia), Fransesa (académie), Rusisa (академия “akademiya”), Arabisa (أَكَادِيمِيَّة “ʾakādīmiyya”), Parsisa (آکادمی “âkâdemi”), Turkisa (akademi), Swahilisa (akademia), Hindisa (अकादमी “akādmī”), Telugusa (అకాడమీ “akāḍamī”), Indonesisa (akademi), Pilipinasa (akademya), Niponsa (アカデミー “akademī”), Hangusa (아카데미 “akademi”)",,,,
akere,root,n,TRUE,acre,,,"akreo, akro","acre (_unidad de superficie_), ac",,,,,,"Englisa (acre), Espanisa (acre), Fransesa (acre), Rusisa (акр ""akr""), Doycisa (Acker), Indonesisa (ekar), Pilipinasa (akre), Hindisa (एकड़ ""ekar""), Arabisa (آكِر ""akir""), Niponsa (エーカー ""eka""), Telugusa (ఎకరం ""ekaram""), Turkisa (akre), Hangusa (에이커 ""eyko""), Swahilisa (ekari)",,,,
akne,root,n,TRUE,acne,,,"akneo, akno(j)",acné,,,,,,"Englisa (acne), Espanisa (acné), Fransesa (acné), Rusisa (акне “akne”), Doycisa (Akne), Indonesisa (akne), Pilipinasa (akne), Turkisa (akne), Parsisa (آکنه “akne”)",,,,
