Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,StatusEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,LexiliEstatus,TranslationFra,TranslationRus,TranslationZho
kasava,root,n,TRUE,"cassava, manioc, yuca",,,"kasavo, manioko","mandioca, yuca, _Manihot esculenta_",,,,,yamxey,"Englisa (cassava), Doycisa (Kassawa), Pilipinasa (kasaba, cassava), Hindisa (कसावा ""kasava""), Arabisa (كاساڨا ""kasava""), Niponsa (キャッサバ ""kyassaba""), Hangusa (카사바 ""kasaba""), Parsisa (کاساو ""kasav"")",,,,
kasete,root,n,TRUE,cassette,,,"kasedo, kaseto","_cassette_, casete",,,,,,"Englisa (cassette), Espanisa (casete), Fransesa (cassette), Rusisa (кассета “kaseta”), Doycisa (Kassette), Indonesisa (kasét), Pilipinasa (kaset), Putunhwa (卡式 “kaxi"", 卡匣 “kaxya”), Hindisa (कैसेट “keset”), Arabisa (كَاسِيت “kaset"", كَاسِيت “kasit”), Niponsa (カセット “kasetto”), Telugusa (క్యాసెట్ “kyaset”), Turkisa (kaset), Vyetnamsa (cát-xét), Hangusa (카세트 “kasetu”), Parsisa (کاست “kaset”), Swahilisa (kaseti)",,,,
kasino,root,n,TRUE,casino,,,"kazino, vetludejo",casino,,,,,dom,"Englisa (casino), Espanisa, Fransesa, Rusisa (казино “kazino”), Doycisa (Kasino), Indonesisa, Pilipinasa, Swahilisa, Hindisa (कसीनो “kasino”), Arabisa (كَازِينُو “kazinu”), Niponsa (カジノ “kajino”), Turkisa (gazino), Hangusa (카지노 “kajino”), Parsisa (کازینو “kazino”)",,,,
kasiru,root,n/f.oro.b,TRUE,break,,,rompo; rompi,"rompimiento; romper, romperse",,,,,,"Arabisa (يُكَسِّرُ‎ “yukassiru”, كَسَّرَ “kassara”), Turkisa (kasir), Parsisa (کسر “kasr”)",,,,
kaso,root,n,TRUE,case,,reviewed,kazo,caso,,,,,,"Englisa (case), Fransesa (cas), Espanisa (caso), Rusisa (казус “kazus”), Doycisa (Kasus), Indonesisa (kasus), Pilipinasa (kaso)",leferesmi,,,
kastani,root,n,TRUE,chestnut,,,kaŝtano,"castaña, _Castanea_",,,,,yamxey,"Doycisa (Kastanie), Espanisa (castaña), Fransesa (châtaigne), Rusisa (каштан “kaxtan”), Indonesisa (kastanye), Pilipinasa (kastanyas), Arabisa (كَسْتَنَاء “kastana”), Turkisa (kestane)",,,,
kastilo,root,n,TRUE,castle,,reviewed,kastelo,castillo,,,,,dom,"Englisa (castle), Espanisa (castillo), Indonesisa (kastil), Pilipinasa (kastilyo), Hindisa (क़िला “qila”), Telugusa (కోట “kōṭa”), Arabisa (قلعة “qalea”, قَصْر “qaṣr”), Parsisa (قلعه “qal'e”), Turkisa (kale)",leferesmi,,,
kata,root,n/f.oro.a,TRUE,cut,,reviewed,"tranĉo; tranĉi, haki",corte; cortar,,,,,,"Arabisa (قَطَعَ “qataʿa”), Hindisa (काटना “katna”), Englisa (cut), Espanisa (cortar), Vyetnamsa (cắt), Hangusa (끊다 “kunta”), Swahilisa (-kata)",leferesmi,,,
katalisi,root,n/f.oj,TRUE,"catalysis; catalyze, catalyse",,,katalizo; katalizi,catálisis,Katalyse,,,,,"Englisa (catalyse, catalysis), Espanisa (catálisis), Fransesa (catalyse), Rusisa (катализ “kataliz”), Doycisa (Katalyse), Indinesisa (katalis), Pilipinasa (katalisis), Turkisa (kataliz), Parsisa (کاتالیز “kataliz”)",,catalyse,катализ,
katalu,root,n,TRUE,katal,,,katalo,"katal, kat",Katal,,,,,"Englisa (katal), Espanisa (katal), Fransesa (katal), Rusisa (катал “katal”), Doycisa (Katal), Indonesisa (katal), Pilipinasa (katal), Putunhwa (開特 “kayte”), Hindisa (कैटल “ketal”), Arabisa (كاتال “katal”), Niponsa (カタール “kataru”), Turkisa (katal), Hangusa (캐탈 “ketal”), Vyetnamsa (katal), Parsisa (کاتال “katal”)",,katal,катал,開特
katina,root,t,TRUE,"difficult, hard, tough",,reviewed,malfacila; malfacile,difícil,,,asan,,,"Hindisa (कठिन “kathin”), Telugusa (కఠినము “kaṭhinamu”), Tamilsa (கடினம் “kaṭiṉam”)",leferesmi,,,
katru,root,n/f.oro.b,TRUE,drop; drip,,,"guto; guti, gutigi",gota; gotear,,,,,,"Arabisa (قَطْر “katr”, قَطَرَ “katara”, يَقْطُرُ‎‎ “yakṭuru), Parsisa (قطره “katre”) ",,,,
kavuke,root,t,TRUE,hollow,,,kava; kave,hueco,,,,,,"Turkisa (kovuk), Parsisa (کاواک “kavak”), Italisa (cavo)",,,,
kaway,root,t,TRUE,cute,,reviewed,"ĉarma, beleta; ĉarme, belete","tierno, lindo, mono",,,,,,"Putunhwa (可爱 “kě'ài”), Niponsa (可愛い “kawaii”)",leferesmi,,,
kawcu,root,n,TRUE,rubber,,,kaŭĉuko,"goma, caucho",,,,,,"Espanisa (caucho), Fransesa (caoutchouc), Englisa, Doycisa (Kautschuk), Pilipinasa (kawtso), Arabisa (كَاوْتْشُوك “kawcuk”), Turkisa (kauçuk), Vyetnamsa (cao su), Parsisa (کائوچو “kaucu”)",,,,
kawri,root,n,TRUE,"cowrie, cowry (Cypraeidae)",,,cipreedo,"cauri, _Cypraeidae_",,,,,,"Englisa (cowrie, cowry, kauri), Espanisa (cauri), Fransesa (cauri “kori”), Rusisa (каури “kauri”), Doycisa (Kauri), Malaysisa (kowri), Hindisa (कौड़ी “kauri”), Karnatakasa (ಕವಡೆ “kavade”), Swahilisa (kauri)",,,,
kaxa,root,n,TRUE,"case, container",,reviewed,"ujo, kontenero","estuche, caja, contenedor",,,,,,"Englisa (case), Fransesa (caisse), Doycisa (Kasten, Kiste), Rusisa (касса “kassa”), Espanisa (caja), Portugalsa (caixa), Hindisa (कोश “kox”), Telugusa (కోశము “koxamu”), Sanskritam (कोश “koxa”)",leferesmi,,,
kaxoke,root,n,TRUE,spoon,,reviewed,kulero,cuchara,,,,,,"Turkisa (kaşık), Parsisa (قاشق “qaxoq”), Swahilisa (kijiko)",leferesmi,,,
kaxu,root,n,TRUE,cashew,,,akaĵuo,"castaña de cajú, cajuil, nuez de marañón, _Anacardium occidentale_",,,,,yamxey,"Englisa (cashew), Espanisa (cayú), Fransesa (cajou), Rusisa (кешью “kexyu”),  Doycisa (Cashew, Kaschu), Pilipinasa (kasoy, kasuy), Arabisa (كَاجُو “kaju”), Niponsa (カシュー “kaxu”), Turkisa (kaşu), Hangusa (캐슈 “kexu”), Swahilisa (korosho), Hindisa (काजू “kaja”), Indonesisa (kacang mede)",,,,
kaydan,root,n,TRUE,"stairs, stairway, staircase","stair. stairs, stairway, staircase",,ŝtuparo,escalera,,,,,,"Niponsa (階段 “kaydan”), Hangusa (계단 “gyedan”), Vyetnamsa (cầu thang “kəwtang”), Pilipinasa (baitang, hagdan)",,,,
kayena,root,n,TRUE,cayenne (pepper),,,kajena pipro,"(pimiento de) Cayena, _Capsicum annuum_",,,,,yamxey,"Doycisa (Cayennepfeffer), Englisa (cayenne), Espanisa (pimienta de cayena), Fransesa (cayenne), Rusisa (кайенский перец ""kayenskij perets""), Putunhwa (卡宴胡椒 ""kayen hujyaw""), Hangusa (카이엔 고추 ""kayen gocu""), Niponsa (カイエンペッパー ""kayenpepa""), Vyetnamsa (ớt Cayenne), Pilipinasa (kayena)",,,,
kayvutu,root,n,TRUE,monster,,reviewed,monstro,monstruo,,,,,,"Putunhwa (怪物 “guài wu”), Niponsa (怪物 “kaibutsu”), Vyetnamsa (quái vật)",leferesmi,,,
ke,root,d,TRUE,"which, what [see [Correlatives](https://xwexi.globasa.net/eng/gramati/tabellexi)]",,reviewed,"kiu, ki- (por demandi pri la sekva vorto)",¿qué? ¿cuál?,,,,,,"Fransesa (quel), Espanisa (que, cual), Rusisa (какой “kakoy”), Hindisa (कौन “kaun”), Parsisa (که “ke”)",leferesmi,,,
kecapu,root,n,TRUE,"ketchup, catsup",,,"keĉupo, keĉapo","kétchup, cátsup",,,,,yamxey,"Englisa (ketchup), Fransesa (ketchup), Doycisa (Ketchup, Ketschup), Rusisa (кетчуп “ketchup”), Espanisa (ketchup), Indonesisa (kecap), Pilipinasa (ketsap), Niponsa (ケチャップ “kechappu”), Hangusa (케첩 “kecheob”), Hindisa (केचप “kechap”), Telugusa (కెచప్ “kecap”), Arabisa (كاتشب “katashib”), Parsisa (کچاپ “kecheape“), Turkisa (ketçap)",,,,
kef,root,n,TRUE,"boss, chief, head",,reviewed,"estro, ĉefo, ĉefulo","jefe, dirigente",,,,,,"Fransesa (chef), Doycisa (Kopf; Chef), Turkisa (kafa - head; şef), Elinisa (κεφάλι “kefali”; σεφ “sef”), Indonesisa (kepala), Espanisa (jefe/jefa), Englisa (chief), Rusisa (шеф “shef”)",leferesmi,,,
keke,root,n,TRUE,cake,,reviewed,kuko,pastel,,,,,yamxey,"Englisa (cake), Doycisa (Kuchen), Norgesa (kake), Hindisa (केक “kek”), Turkisa (kek), Arabisa (كيكة “kayka”)",leferesmi,,,
kelvin,root,n,TRUE,kelvin,,,kelvino,"kelvin, K",Kelvin,,,,,"Englisa (kelvin), Espanisa (kelvin), Fransesa (kelvin), Rusisa (кельвин “kelvin”), Doycisa (Kelvin), Indonesisa (kelvin), Pilipinasa (kelbin), Putunhwa (开尔文 “kayerwen”), Hindisa (कैल्विन “kelvin”), Arabisa (كِلْفِن “kilfin”), Niponsa (ケルビン “kerubin”), Telugusa (కెల్విన్ “kelvin”), Turkisa (kelvin), Hangusa (켈빈 “kelbin”), Vyetnamsa (kenvin), Parsisa (کلوین “kelvin”), Swahilisa (kelvini)",,kelvin,кельвин,开尔文
kemer,root,n,TRUE,waist,,,talio,"cintura, talle",,,,,jismulogi,"Hindisa (कमर “kamar”), Parsisa (کمر “kamar”), Turkisa (kemer)",,,,
kendi,root,n,FALSE,"candy, sweet",,,bonbono,"golosina, caramelo, dulce",,,,,yamxey,"Englisa (candy), Pilipinasa (kendi), Hindisa (कैंडी ""kendi""), Niponsa (キャンディ ""kyandi""), Hangusa (캔디 ""kendi""), Telugusa (కలకండ ""kalakanda"")",,,,
kentan,root,n/f.oro.a,TRUE,exploration; explore,,reviewed,esploro; esplori,exploración; explorar,,,,,,"Putunhwa (勘探 “kāntàn”), Niponsa (探検 “tanken”)",leferesmi,,,
kentawro,root,n,TRUE,centaur,,,"centaŭro, kentaŭro",centauro,,,,,,"Lamaelinisa (κένταυρος “kentawros”), Englisa (centaur), Espanisa (centauro), Fransesa (centaure), Rusisa (кентавр “kentavr”), Doycisa (Kentaur), Indonesisa, Turkisa, Pilipinasa (sentauro), Hindisa (सेंटूर “sentur”), Arabisa (قُنْطُور “kuntur”), Niponsa (ケンタウロス “kentawrosu”), Telugusa (సెంటార్ “sentar”), Hangusa (켄타우로스 “kentawrosu”), Vyetnamsa (kentauros), Parsisa (قنطورس), Swahilisa (kentauro)",,,,
kerati,root,n,TRUE,"carat, karat",,,karato,"quilate, ct",Karat,,,,,"Englisa (carat, karat), Espanisa (quilate), Fransesa (carat), Rusisa (карат “karat”), Doycisa (Karat), Portugalsa (quilate), Italisa (carato, carati), Indonesisa (karat), Pilipinasa (kilatis), Putunhwa (克拉 “kela”), Hindisa (कैरट “kerat”), Arabisa (قِيرَاط “kirat”), Niponsa (カラット “karatto”), Telugusa (క్యారెట్ “kyaret”), Turkisa (karat), Vyetnamsa (cara), Hangusa (캐럿 “kerot”), Parsisa (قیراط “kirat”), Swahilisa (karati)",,,,
kergedan,root,n,TRUE,rhinoceros,,,rinocero,"rinoceronte, _Rhinocerotidae_",,,,,hewan,"Hindisa (खड्ग “khadg”, खड्गधेनु “khadgadhenu”), Arabisa (كَرْكَدَّن “karkadan”), Telugusa (ఖడ్గమృగం “khadgamrgam”), Turkisa (gergedan), Parsisa (کرگدن “kargadan”, کرگ “karg”)",,,,
kermes,root,n,TRUE,kermes (_insect_),,,kirmeso,"quermes, _Kermes_",,,,,hewan,"Englisa (kermes), Espanisa (kermes, quermes), Fransesa (kermes), Doycisa (kermes), Rusisa (кермесы “kermesi”), Arabisa (قِرْمِز “qirmiz”), Parsisa (قرمز “qermez”), Turkisa (kırmız)",,,,
kerosin,root,n,TRUE,kerosene,,,keroseno,queroseno,,,,,,"Englisa (kerosene), Espanisa (queroseno), Fransesa (kérosène), Rusisa (керосин “kerosin”), Doycisa (Kerosin), Indonesisa, Pilipinasa (kerosina), Hindisa (केरोसीन “kerosin”), Arabisa (كِيرُوسِين “kirusin”), Niponsa (ケロシン “keroxin”), Telugusa (కిరోసిన్ “kerosin”), Turkisa (kerosen), Hangusa (케로신 “keroxin”), Vyetnamsa (kêrôsin), Parsisa (کروسن “kerosen”)",,,,
kesadiya,root,n,TRUE,quesadilla,,reviewed,kesadiljo,quesadilla,,,,,yamxey,Espanisa (quesadilla),leferesmi,,,
ketani,root,n,TRUE,flax,,,lino,"lino, _Linum usitatissimum_",,,,,,"Arabisa (كَتَّان ""kattān""), Turkisa (keten), Parsisa (کتان ""katân""), Swahilisa (katani, kitani)",,,,
ketif,root,n,TRUE,shoulder,,reviewed,ŝultro,hombro,,,,,jismulogi,"Arabisa (كتف “katef”), Parsisa (کتف “ketf”), Ivrisa (כָּתֵף “katef”)",leferesmi,,,
kexru,root,n,TRUE,"shell (of a nut), crust, bark, peel, rind, hull, husk, cortex",,,"ŝelo, krusto, kortiko",cáscara,,,,,,"Arabisa (قِشْر ""kixr""), Parsisa (قشر ""kexr""), Putunhwa (壳 ""ke, ker""), Indonesisa (kerak), Niponsa (殻 ""kaku""), Turkisa (kabuk)",,,,
ki,root,l,TRUE,that,,reviewed,ke,que,,,,,,"Fransesa (que), Espanisa (que), Hindisa (कि “ki”), Parsisa (که “ke”)",leferesmi,,,
kibiriti,root,n,TRUE,match (_fire_),,,alumeto,"fósforo, cerilla, cerillo, misto, mixto",,,,,,"Arabisa (كِبْرِيت “kibrit”), Turkisa (kibrit), Parsisa (کبریت “kebrit”), Swahilisa (kibiriti)",,,,
kido,root,n/f.oro.a,TRUE,prayer; pray,,,preĝo; preĝi,"oración, rezo; orar, rezar",,,,,dini,"Putunhwa (祈祷 “cidaw”), Niponsa (祈祷 “kito”), Hangusa (기도 “kido”)",,,,
kigan,root,n,TRUE,"trachea, windpipe",,,traĥeo,tráquea,,,,,jismulogi,"Putunhwa (气管 ""cigwan""), Niponsa (気管 ""kikan""), Vyetnamsa (khí quản), Hangusa (기관 ""gigwan"")",,,,
kihoy,root,n,TRUE,"opportunity, chance, occasion",,reviewed,okazo,"oportunidad, ocasión, chance",,,,,,"Putunhwa (机会 “jīhuì”), Niponsa (機会 “kikai”), Hangusa (기회 “gihoe”), Vyetnamsa (cơ hội)",leferesmi,,,
kijawi,root,t,TRUE,green,,reviewed,verda; verde,verde,,,,,kolor,"Swahilisa (kijani), Indonesisa (hijau)",leferesmi,,,
kilil,root,n/f.oro.a,TRUE,"file (_tool_), rasp",,,fajlilo; fajli,"lima, escofina (_herramienta_); limar, raspar, escofinar",,,,,,"Indonesisa (kikir), Pilipinasa (kikil)",,,,
kilo,root,num,TRUE,"thousand, one thousand",,reviewed,mil,"kilo-, 1 × 10^3, mil, k",,,,,,"Englisa (kilo-), Fransesa ( ), Doycisa, Rusisa, Espanisa, Arabisa, Hindisa, Telugusa, Parsisa, Turkisa, Indonesisa, Pilipinasa, Swahilisa, Vyetnamsa, Niponsa, Hangusa",leferesmi,,,
kima,root,n/f.oj,TRUE,"price, fee, cost; cost",,reviewed,"kosto, prezo; kosti","costo, precio; costar",,,,,,"Arabisa (قيمة “kayima”), Hindisa (क़ीमत “kimat”), Indonesisa (kimat), Parsisa (قیمت “qeymat”), Turkisa (kıymet)",leferesmi,,,
kimika,root,n,TRUE,chemistry,,,kemio,química,,,,,,"Englisa (chemical), Espanisa (química), Fransesa (chimie), Rusisa (химия “himiya”), Doycisa (Chemie), Indonesisa (kimia), Pilipinasa (kimika), Arabisa (كِيمِيَاء “kimiya”), Turkisa (kimya), Parsisa (شیمی “ximi”), Swahilisa (kemia)",,,,
kingem,root,n/f.oj,TRUE,experience,,reviewed,sperto; sperti,experiencia; experimentar,,,,,,"Putunhwa (经验 “jīngyàn”), Vyetnamsa (kinh nghiệm), Niponsa (経験 “Keiken”), Hangusa (경험 “gyeongheom”)",leferesmi,,,
kipa,root,n,TRUE,"heap, pile",,,"amaso, stako, staplo","montón, pila",,,,,,"Englisa (heap), Doycesa (Haufen), Rusisa (кипа “kipa”), Telugusa (కుప్ప “kuppa”), Parsisa (کپه‎ “koppe”)",,,,
kiray,root,n/f.oro.a,TRUE,rent,,reviewed,luo; lui,"renta, alquiler; rentar, alquilar",,,,,,"Hindisa (किराया “kiraya”), Turkisa (kira)",leferesmi,,,
kismetu,root,n,TRUE,"fate, destiny",,,"fato, sorto, destino",destino,,,,,,"Englisa (kismet), Rusisa (кисмет “kismet”), Hindisa (क़िस्मत  “qismat”), Arabisa: (قسمة “qisma”), Turkisa (kısmet), Parsisa (قسمت‎ “qismat”)",,,,
kitabu,root,n,TRUE,book,,reviewed,libro,libro,,,,,,"Arabisa (كتاب “kitab”), Hindisa (किताब “kitab”), Indonesisa (kitab), Parsisa (کتاب “kitab”), Swahilisa (kitabu), Turkisa (kitap)",leferesmi,,,
klarinete,root,n,TRUE,clarinet,,,klarineto,clarinete,Klarinette,,,,,"Englisa (clarinet), Espanisa (clarinete), Fransesa (clarinette), Rusisa (кларнет “klarnet”), Doycisa (Klarinette), Indonesisa (klarinet), Pilipinasa (klarinete), Arabisa (كْلَارِينِيت “klarinit”), Niponsa (クラリネット “kurarineto”), Telugusa (క్లారినెట్ “klarinet”), Turkisa (klarnet), Hangusa (클라리넷 “kularinet”), Vyetnamsa (cla-ri-nét), Parsisa (کلارینت “kelârinet”), Swahilisa (klarineti)",,,,
klase,root,n/f.oro.b,TRUE,"class, category; classify, categorize",,reviewed,"klaso, kategorio; klasi, klasifiki","clase, categoría; clasificar, clasificarse, categorizar",,,,,,"Englisa (class), Fransesa (classe), Doycisa (Klasse), Rusisa (класс “klass”), Espanisa (clase), Pilipinasa (klase), Indonesisa (kelas), Parsisa (کلاس ""kelâs"")",leferesmi,,,
klasiko,root,t,TRUE,"classic, classical",,reviewed,klasika; klasike,clásico,,,,,,"Arabisa (كْلَاسِيكِيّ “klasikiy”), Hindisa (क्लासिक “klasik”), Persisa (کلاسیک “kelâsik”), Turkisa (klasik), Indonesisa (klasik), Pilipinasa (klasiko), Doycisa (klassisch), Englisa (classic), Espanisa (clásico), Fransesa (classique), Rusisa (классический “klassiceskiy”)",leferesmi,,,
kliente,root,n,TRUE,"client, customer",,,kliento,cliente,,,,,,"Doycisa (Klient), Englisa (client), Espanisa (cliente), Fransesa (client), Rusisan (клиент “kliyent”), Indonesisa (klien), Pilipinasa (klieyente), Niponsa (クライアント “kuraianto”), Telugusa (క్లయింట్ “klayiṇṭ”)",,,,
kliku,root,n/f.oro.a,TRUE,click (on),,reviewed,klako; klaki,clic; hacer clic en,,,,,,"Englisa (click), Fransesa (cluc), Doycisa (Klick), Espanisa (clic), Indonesisa (klik), Pilipinasa (magklik), Niponsa (クリック “kurikku”)",leferesmi,,,
klitoris,root,n,TRUE,clitoris,,,klitoro,clítoris,Klitoris,,,,jismulogi,"Englisa (clitoris), Fransesa, Espanisa (clítoris), Rusisa (клитор “klitor”), Doycisa (Klitoris), Indonesisa, Turkisa, Niponsa (クリトリス “kuritorisu”), Hangusa (클리토리스 “kulitorisu”)",,,,
klorin,root,n,TRUE,chlorine,,,"kloro, ĥloro",cloro,,,,,kimikali monlari,"Englisa (chlorine), Espanisa (cloro), Arabisa (كُلُور “kulur”), Fransesa (chlore), Rusisa (хлор “hlor”), Indonesisa (klorin), Doycisa (Chlor), Telugusa (క్లోరిన్ “klorin”), Turkisa (klor), Vyetnamsa (clo), Parsisa (کلر “kolor”), Swahilisa (klorini), Pilipinasa (kloro, klorina, kluroro)",,,,
klosi,root,n/f.oro.b,TRUE,"closure; close, shut",,reviewed,fermo; fermi,"cierre; cerrar, cerrarse",,,,,,"Englisa (close, closing), Espanisa (clausura), Fransesa (clos), Doycisa (Closura)",leferesmi,,,
klover,root,n,TRUE,clover,,,trifolio,"trébol, _Trifolium_",Klee,,,,,"Englisa (clover), Rusisa (клевер “klever”), Pilipinasa (klober), Niponsa (クローバー “kurōbā”), Hangusa (클로버 “keullobeo”), Telugusa (క్లోవర్ “klōvar”), Swahilisa (klova)",,,,
klubu,root,n,TRUE,club,,reviewed,klubo,club,,,,,,"Englisa (club), Fransesa (club), Doycisa (Klub), Rusisa (клуб “klub”), Espanisa (club), Hindisa (क्लब “klab”), Indonesisa (klub, klab), Turkisa (kulüp), Swahilisa (klabu), Niponsa (クラブ “kurabu”), Vyetnamsa (câu lạc bộ)",leferesmi,,,
koala,root,n,TRUE,"koala, _Phascolarctidae_",,,koalo,"koala, _Phascolarctidae_",,,,,hewan,"Englisa (koala), Espanisa, Fransesa, Doycisa, Indonesisa, Turkisa, Vyetnamsa, Swahilisa, Rusisa (коала “koala”), Pilipinasa (kowala), Putunhwa (考拉 “kawla”), Hindisa (कोअला “koala”), Arabisa (كُوَالَا “kuwala”), Niponsa (コアラ “koara”), Telugusa (కోలా “kola”), Hangusa (코알라 “koala”), Parsisa (کوآلا “koala”)",,,,
kobalto,root,n,TRUE,cobalt,,,kobalto,"cobalto, Co",,,,,kimikali monlari,"Englisa (cobalt), Espanisa (cobalto), Arabisa (كُوبَلْت “kubalt”), Fransesa (cobalt), Rusisa (кобальт “kobalt”), Indonesisa (kobalt), Doycisa (Kobalt), Niponsa (コバルト “kobaruto”), Telugusa (కోబాల్ట్ “kobalt”), Turkisa (kobalt), Hangusa (코발트 “kobaltu”), Vyetnamsa (coban), Parsisa (کبالت “kobalt”), Swahilisa (kobalti), Pilipinasa (kobalto)",,,,
koberi,root,n/f.oj,TRUE,cover,,reviewed,kovro; kovri,"cubierta, tapa; cubrir",,,,,,"Englisa (covering), Fransesa (couvrir), Espanisa (cubrir), Hindisa (कवर “kavar”), Niponsa (カバー “kabā”)",leferesmi,,,
kobra,root,n,TRUE,cobra,,,kobro,"cobra, _Elapidae_",Kobra,,,,hewan,"Englisa (cobra), Hindisa (कोबरा “kobra”), Espanisa (cobra), Arabisa (كُوبْرَا “kubra”), Fransesa (cobra), Rusisa (кобра “kobra”), Indonesisa (kobra), Doycisa (Kobra), Niponsa (コブラ “kobura”), Turkisa (kobra), Hangusa (코브라 “kobura”), Parsisa (کبرا “kobra”), Pilipinasa (kobra)",,,,
koda,root,n,TRUE,tail,,reviewed,vosto,cola,,,,,jismulogi,"Englisa (coda), Fransesa (caudal), Doycisa (kaudal, Coda), Rusisa (кода “koda”), Espanisa (coda, cola, caudal), Turkisa",leferesmi,,,
kodi,root,n/f.oj,TRUE,code; codify,,,kodo; kodi(gi),código; codificar,,,,,,"Englisa (code, coding), Putunhwa, Hindisa (कोड “kod”), Espanisa (código), Fransesa (code), Rusisa (код “kod”), Indonesisa (kode), Doycisa (Kode), Niponsa (コード “kodo”), Telugusa, Turkisa (kod), Hangusa (코드 “kodu”), Parsisa (کد‎ “kod”)",,,,
kof,root,n/f.oro.a,TRUE,cough,,reviewed,tuso; tusi,tos; toser,,,,,,"Englisa (cough), Magyarsa (köhög), Estisas (köha), Swomisa (köhiä), Swahilisa (-kohoa)",leferesmi,,,
koge,root,n,TRUE,palate,,,palato,paladar,,,,,jismulogi,"Putunhwa (上颚 ""xange"", 口盖 ""kowgay""), Niponsa (口蓋 ""kogay""), Hangusa (구개 ""guge""), Swahilisa (kaakaa)",,,,
koka,root,n,TRUE,"coca, _Erythroxylum_",,,kokao,"coca, _Erythroxylum_",,,,,,"Englisa (coca, cocaine), Espanisa (coca, cocaína), Fransesa (cocaïne), Rusisa (кока “koka”), Doycisa (Kokain), Arabisa (كوكا “kuka”), Turkisa (koka, kokain), Parsisa (کوکا “koka”), Putunhwa (古柯 “guke"", 可卡因 “kekayon”), Niponsa (コカ “koka”), Vyetnamsa (côca), Hindisa (कोकेन “koken”), Indonesisa (kokain), Pilipinasa (kokaina), Swahilisa (kokain)",,,,
koki,root,n/f.oro.a,TRUE,cooking; cook,,reviewed,kuiro; kuiri,cocina (_actividad_); cocinar,,,,,,"Indonesisa (koki - _kokiyen_), Doycisa (kochen), Espanisa (cocinar), Rusisa (кок “kok”, кухня “kukhnya”), Englisa (cook), Pilipinasa (kusi)",leferesmi,,,
koko,root,n,TRUE,"coconut, _Cocos_",,reviewed,kokoso,"coco, _Cocos_",,,,,yamxey,"Englisa (coconut), Fransesa (noix de coco), Doycisa (Kokosnuss), Rusisa (кокосовый орех “kokosovyj orex”), Espanisa (coco), Niponsa (ココナツ “kokonatsu”), Hangusa (코코넛 “kokoneot”)",leferesmi,,,
koktel,root,n,TRUE,cocktail,,,koktelo,coctel,,,,,gluxey,"Englisa (cocktail), Espanisa (cóctel, coctel), Fransesa (cocktail), Rusisa (коктейль ""kokteyl""), Doycisa (Cocktail), Portugalsa (coquetel), Italisa (cocktail), Indonesisa (koktail), Pilipinasa (koktel, kaktel, kakteyl), Hindisa (कॉकटेल ""kŏktel""), Arabisa (كُوكْتَيْل ""kuktayl"", كُوكْتِيل ""kokteyl""), Niponsa (カクテル ""kakuteru""), Tamilsa (காக்டெய்ல்கள் ""kakteylgal""), Turkisa (kokteyl), Vyetnamsa (cốc-tai), Hangusa (칵테일 ""kakteil""), Parsisa (کوکتل ""koktel"")",,,,
kola,root,n,TRUE,"cola (_drink, tree, nut_)",,,"kolatrinkaĵo, kolaaĵo, kolao, kolanukso","bebida de cola, nuez de kola",,,,,,"Englisa (cola), Espanisa, Doycisa, Vyetnamsa, Rusisa (кола “kola”), Indonesisa (kola), Pilipinasa, Turkisa, Putunhwa (可乐 “kele”), Hindisa (कोला “kola”), Arabisa (كُولَا “kula”), Niponsa (コーラ “kora”), Telugusa (కోలా “kola”), Hangusa (콜라 “kola”), Parsisa (کولا “kola”), Swahilisa (mkola)",,,,
kolera,root,n,TRUE,cholera,,,ĥolero,cólera,,,,,medis,"Englisa (cholera), Doycisa, Espanisa (cólera), Fransesa (choléra), Rusisa (холера “holera”), Indonesisa (kolera), Pilipinasa, Turkisa, Hindisa (कॉलरा “kolra”), Arabisa (كُولِيرَا “kolira”), Putunhwa (虎列拉 “hǔlièlā”), Niponsa (コレラ “korera”), Telugusa (కలరా “kalara”), Hangusa (콜레라 “kolera”)",,,,
kolesterol,root,n,TRUE,cholesterol,,,"ĥolesterolo, koleserolo",colesterol,,,,,,"Englisa (cholesterol), Vyetnamsa, Espanisa (colesterol), Fransesa (cholestérol), Rusisa (холестерин “holesterin”), Doycisa (Cholesterin, Cholesterol), Indonesisa (kolesterol), Pilipinasa, Turkisa, Hindisa (कोलेस्ट्रॉल “kolestrol”), Arabisa (كُولِسْتِرُول “kulistirul”), Niponsa (コレステロール “koresuteroru”), Telugusa (కొలెస్టరాల్‌ “kolestaral”, కొలెస్టరోల్ “kolestarol”), Hangusa (콜레스테롤 “kolesutelol”), Parsisa (کلسترول “kolesterol”), Swahilisa (kolesteroli)",,,,
koloni,root,n,TRUE,colony,,,kolonio,colonia,Kolonie,,,,,"Englisa (colony), Espanisa (colonia), Fransesa (colonie), Rusisa (колония “koloniya”), Doycisa (Kolonie), Indonesisa (koloni), Turkisa, Swahilisa, Pilipinasa (kolonya), Hindisa (कॉलोनी “koloni”), Niponsa (コロニー “koroni”)",,,,
kolor,root,n,TRUE,color,,reviewed,koloro,color,Farbe; färben,,,,,"Englisa (color), Fransesa (couleur), Doycisa (kolorieren), Rusisa (колер “koler”), Espanisa (color), Pilipinasa (kulay)",leferesmi,,,
